stock,sector
20MICRONS,
21STCENMGM,
360ONE,
3IINFOLTD,
3MINDIA,
3PLAND,
5PAISA,
63MOONS,
A2ZINFRA,
AAATECH,
AADHARHFC,
AAKASH,
AAREYDRUGS,
AARNAV,
AARON,
AARTECH,
AARTIDRUGS,
AARTIIND,
AARTIPHARM,
AARTISURF,
AARVI,
AAVAS,
ABAN,
ABB,Capital_Goods
ABBOTINDIA,
ABCAPITAL,
ABCOTS,
ABDL,
ABFRL,
ABINFRA,
ABLBL,
ABMINTLLTD,
ABREL,
ABSLAMC,
ACC,Cement
ACCELYA,
ACCURACY,
ACE,
ACEINTEG,
ACI,
ACL,
ACMESOLAR,
ACUTAAS,
ADANIENSOL,
ADANIENT,Others
ADANIGREEN,Others
ADANIPORTS,Logistics
ADANIPOWER,Power
ADFFOODS,
ADL,
ADOR,
ADROITINFO,
ADSL,
ADVAIT,
ADVANCE,
ADVANIHOTR,
ADVENTHTL,
ADVENZYMES,
AEGISLOG,
AEGISVOPAK,
AEQUS,
AEROENTER,
AEROFLEX,
AERONEU,
AETHER,
AFCONS,
AFFLE,
AFFORDABLE,
AFIL,
AFSL,
AGARIND,
AGARWALEYE,
AGI,
AGIIL,
AGRITECH,
AGROPHOS,
AGSTRA,
AHCL,
AHLADA,
AHLEAST,
AHLUCONT,
AIAENG,
AIIL,
AIRAN,
AIROLAM,
AJANTPHARM,
AJAXENGG,
AJMERA,
AJOONI,
AKASH,
AKG,
AKI,
AKSHAR,
AKSHARCHEM,
AKSHOPTFBR,
AKUMS,
AKZOINDIA,
ALANKIT,
ALBERTDAVD,
ALEMBICLTD,
ALGOQUANT,
ALICON,
ALIVUS,
ALKALI,
ALKEM,Pharma
ALKYLAMINE,
ALLCARGO,
ALLDIGI,
ALLTIME,
ALMONDZ,
ALOKINDS,
ALPA,
ALPHAGEO,
AMAGI,
AMANTA,
AMBER,
AMBICAAGAR,
AMBIKCO,
AMBUJACEM,Cement
AMDIND,
AMJLAND,
AMNPLST,
AMRUTANJAN,
ANANDRATHI,
ANANTRAJ,
ANDHRAPAP,
ANDHRSUGAR,
ANGELONE,
ANIKINDS,
ANKITMETAL,
ANMOL,
ANSALAPI,
ANTELOPUS,
ANTGRAPHIC,
ANTHEM,
ANUHPHR,
ANUP,
ANURAS,
APARINDS,
APCL,
APCOTEXIND,
APEX,
APLAPOLLO,
APLLTD,
APOLLO,
APOLLOHOSP,Healthcare
APOLLOPIPE,
APOLLOTYRE,
APOLSINHOT,
APTECHT,
APTUS,
AQYLON,
ARCHIDPLY,
ARCHIES,
ARE&M,
ARENTERP,
ARFIN,
ARIES,
ARIHANTCAP,
ARIHANTSUP,
ARIS,
ARKADE,
ARMANFIN,
AROGRANITE,
ARROWGREEN,
ARSSBL,
ARTEMISMED,
ARTNIRMAN,
ARVEE,
ARVIND,
ARVINDFASN,
ARVSMART,
ASAHIINDIA,
ASAHISONG,
ASAL,
ASALCBR,
ASHAPURMIN,
ASHIANA,
ASHIMASYN,
ASHOKA,
ASHOKAMET,
ASHOKLEY,Automobile
ASIANENE,
ASIANHOTNR,
ASIANPAINT,Paints
ASIANTILES,
ASKAUTOLTD,
ASMS,
ASPINWALL,
ASTEC,
ASTERDM,
ASTRAL,
ASTRAMICRO,
ASTRAZEN,
ASTRON,
ATALREAL,
ATAM,
ATGL,
ATHERENERG,
ATL,
ATLANTAA,
ATLANTAELE,
ATLASCYCLE,
ATUL,
ATULAUTO,
AUBANK,
AURIGROW,
AURIONPRO,
AUROPHARMA,Pharma
AURUM,
AUSOMENT,
AUTOAXLES,
AUTOIND,
AVADHSUGAR,
AVALON,
AVANTEL,
AVANTIFEED,
AVG,
AVL,
AVONMORE,
AVROIND,
AVTNPL,
AWFIS,
AWHCL,
AWL,
AXISBANK,Financial_Services
AXISCADES,
AXITA,
AYE,
AYMSYNTEX,
AZAD,
BAFNAPH,
BAGFILMS,
BAIDFIN,
BAJAJ-AUTO,Automobile
BAJAJCON,
BAJAJELEC,
BAJAJFINSV,Financial_Services
BAJAJHCARE,
BAJAJHFL,
BAJAJHIND,
BAJAJHLDNG,
BAJAJINDEF,
BAJEL,
BAJFINANCE,Financial_Services
BALAJEE,
BALAJITELE,
BALAMINES,
BALAXI,
BALKRISHNA,
BALKRISIND,
BALMLAWRIE,
BALPHARMA,
BALRAMCHIN,
BALUFORGE,
BANARBEADS,
BANARISUG,
BANCOINDIA,
BANDHANBNK,
BANG,
BANKA,
BANKBARODA,
BANKINDIA,
BANSALWIRE,
BANSWRAS,
BASF,
BASML,
BATAINDIA,Consumer_Durables
BAYERCROP,
BBL,
BBOX,
BBTC,
BBTCL,
BCG,
BCLIND,
BCONCEPTS,
BDL,
BEARDSELL,
BECTORFOOD,
BEDMUTHA,
BEL,
BELLACASA,
BELRISE,
BEML,
BEPL,
BERGEPAINT,
BESTAGRO,
BETA,
BFINVEST,
BFUTILITIE,
BGRENERGY,
BHAGCHEM,
BHAGERIA,
BHAGYANGR,
BHANDA-RE2,
BHANDARI,
BHARATCOAL,
BHARATFORG,
BHARATGEAR,
BHARATRAS,
BHARATSE,
BHARATWIRE,
BHARTIARTL,Telecom
BHARTIHEXA,
BHEL,Capital_Goods
BIGBLOC,
BIKAJI,
BIL,
BILVYAPAR,
BIOCON,Pharma
BIOFILCHEM,
BIRLACABLE,
BIRLACORPN,
BIRLAMONEY,
BIRLANU,
BLACKBUCK,
BLAL,
BLBLIMITED,
BLISSGVS,
BLKASHYAP,
BLS,
BLSE,
BLUECOAST,
BLUEDART,
BLUEJET,
BLUESTARCO,
BLUESTONE,
BLUSPRING,
BMWVENTLTD,
BODALCHEM,
BOHRAIND,
BOMDYEING,
BONLON,
BORANA,
BOROLTD,
BORORENEW,
BOROSCI,
BOSCH-HCIL,
BOSCHLTD,Capital_Goods
BPCL,Oil_Gas
BPL,
BRIGADE,
BRIGHOTEL,
BRITANNIA,FMCG
BRNL,
BROOKS,
BSE,
BSHSL,
BSL,
BSOFT,
BTML,
BUILDPRO,
BUTTERFLY,
BVCL,
BYKE,
CALSOFT,
CAMLINFINE,
CAMPUS,
CAMS,
CANBK,
CANFINHOME,
CANHLIFE,
CANTABIL,
CAPACITE,
CAPILLARY,
CAPITALSFB,
CAPLIPOINT,
CAPTRUST,
CARBORUNIV,
CARERATING,
CARRARO,
CARTRADE,
CARYSIL,
CASTROLIND,
CCAVENUE,
CCCL,
CCHHL,
CCL,
CDSL,
CEATLTD,
CEIGALL,
CEINSYS,
CELEBRITY,
CELLO,
CEMPRO,
CENTENKA,
CENTEXT,
CENTRALBK,
CENTRUM,
CENTUM,
CENTURYPLY,
CERA,
CEREBRAINT,
CESC,
CEWATER,
CGCL,
CGPOWER,
CHALET,
CHAMBLFERT,
CHEMBOND,
CHEMBONDCH,
CHEMCON,
CHEMFAB,
CHEMPLASTS,
CHENNPETRO,
CHEVIOT,
CHOICEIN,
CHOLAFIN,Financial_Services
CHOLAHLDNG,
CIEINDIA,
CIFL,
CIGNITITEC,
CINELINE,
CINEVISTA,
CIPLA,Pharma
CLEAN,
CLEANMAX,
CLEDUCATE,
CLSEL,
CMSINFO,
CNL,
COALINDIA,
COASTCORP,
COCHINSHIP,
COFFEEDAY,
COFORGE,IT
COHANCE,
COLPAL,FMCG
COMPINFO,
COMPUSOFT,
COMSYN,
CONCOR,Logistics
CONCORDBIO,
CONFIPET,
CONSOFINVT,
CONTROLPR,
CORALFINAC,
CORDSCABLE,
COROMANDEL,
CORONA,
COSMOFIRST,
COUNCODOS,
CPCAP,
CPEDU,
CPPLUS,
CRAFTSMAN,
CRAMC,
CREATIVEYE,
CREDITACC,
CREST,
CRISIL,
CRIZAC,
CROMPTON,Consumer_Durables
CROWN,
CSBBANK,
CSLFINANCE,
CTE,
CUB,
CUBEXTUB,
CUMMINSIND,Capital_Goods
CUPID,
CURAA,
CYBERMEDIA,
CYBERTECH,
CYIENT,
CYIENTDLM,
DABUR,FMCG
DALBHARAT,
DALMIASUG,
DAMCAPITAL,
DAMODARIND,
DANGEE,
DATAMATICS,
DATAPATTNS,
DAVANGERE,
DBCORP,
DBEIL,
DBL,
DBOL,
DBREALTY,
DBSTOCKBRO,
DCAL,
DCBBANK,
DCI,
DCM,
DCMFINSERV,
DCMNVL,
DCMSHRIRAM,
DCMSIL,
DCMSRIND,
DCW,
DCXINDIA,
DDEVPLSTIK,
DECCANCE,
DEEDEV,
DEEPAKFERT,
DEEPAKNTR,
DEEPINDS,
DELHIVERY,
DELPHIFX,
DELTACORP,
DELTAMAGNT,
DEN,
DENORA,
DENTA,
DEVIT,
DEVX,
DEVYANI,
DGCONTENT,
DHAMPURSUG,
DHANBANK,
DHANUKA,
DHARAN,
DHARMAJ,
DHRUV,
DHUNINV,
DIACABS,
DIAMINESQ,
DIAMONDYD,
DICIND,
DIFFNKG,
DIGIDRIVE,
DIGISPICE,
DIGITIDE,
DIGJAMLMTD,
DISHTV,
DIVGIITTS,
DIVISLAB,Pharma
DIXON,
DJML,
DLF,Real_Estate
DLINKINDIA,
DMART,Retail
DMCC,
DNAMEDIA,
DODLA,
DOLATALGO,
DOLLAR,
DOLPHIN,
DOMS,
DONEAR,
DPABHUSHAN,
DPSCLTD,
DPWIRES,
DRCSYSTEMS,
DREAMFOLKS,
DREDGECORP,
DRREDDY,Pharma
DSFCL,
DSSL,
DTIL,
DUCON,
DVL,
DWARKESH,
DYCL,
DYNAMATECH,
DYNPRO,
E2E,
EASEMYTRIP,
EBGNG,
ECLERX,
ECOSMOBLTY,
EDELWEISS,
EFCIL,
EICHERMOT,Automobile
EIDPARRY,
EIEL,
EIFFL,
EIHAHOTELS,
EIHOTEL,
EIMCOELECO,
EKC,
ELDEHSG,
ELECON,
ELECTCAST,
