,Expected_Return,Downside_Risk
20MICRONS,0.10815146666109379,0.3064727289954836
3MINDIA,0.16663017685211562,0.19017642008565536
A2ZINFRA,-0.3127441533982553,0.4105362241510386
AARTIDRUGS,0.25677109538522586,0.2484582420954759
AARTIIND,0.3154212810321541,0.2260408331233882
ABAN,-0.23361632654656006,0.31658060057709453
ACC,0.04600074284748593,0.19486990576443
ACE,0.18913825018908698,0.3360796639057292
ADANIENT,0.08955779728506157,0.6375859634874654
ADFFOODS,0.2108132030926566,0.29317298526497837
ADOR,0.13452107367625435,0.2693139213446633
ADROITINFO,-0.11051181712873032,0.33022610768856875
AEGISLOG,0.21891308247163876,0.2875573879283333
AGI,0.09774356898568104,0.4356359834758888
AHLUCONT,0.11621275104816245,0.3011477450868926
AJANTPHARM,0.3577253487776829,0.22708018843915084
AKSHOPTFBR,0.034830701603335144,0.3464353744936863
AKZOINDIA,0.10539440832106162,0.16471231690441115
ALEMBICLTD,0.1201332322679134,0.3082862598731169
ALICON,0.21827762228946043,0.3306442607405712
ALKALI,0.062486593935478445,0.3433301714557071
ALKYLAMINE,0.42049089870375106,0.2576966222762621
ALLCARGO,0.13161929559546376,0.2677430651949733
ALLDIGI,0.25089929520995746,0.34707880132668895
AMBIKCO,0.1693179770006163,0.23879393375729507
AMBUJACEM,0.0863563083066731,0.22890507753626024
AMDIND,0.0865398703791796,0.3734951081178559
AMJLAND,0.042064137143501774,0.3693884538780132
ANANTRAJ,0.07759624172820999,0.35143296823195636
ANDHRSUGAR,0.1618026398957267,0.26226944474205943
ANTELOPUS,-0.01793827547411477,0.27968367278149314
APARINDS,0.21315337350493632,0.26055512349942195
APCOTEXIND,0.30059995929964034,0.25985576537183824
APOLLOTYRE,0.128136754174719,0.28286760791410287
APTECHT,0.09826420150281497,0.31967355660202806
ARCHIDPLY,0.13580941647236053,0.3899225182353721
ARIES,0.023988733888077936,0.3326586127239699
ASAHIINDIA,0.1525984523705344,0.2565840450194919
ASAHISONG,0.06862721507104011,0.3222715943274721
ASAL,0.13260846553012684,0.35649724310324793
ASHAPURMIN,0.10387413628399474,0.36088081492441576
ASHIANA,0.13626865527671994,0.265443433290483
ASHIMASYN,0.13018169389546774,0.4158074130432025
ASHOKLEY,0.15369341742204023,0.32320125991415793
ASIANHOTNR,-0.09669344100813612,0.28199242052258383
ASIANTILES,0.02297187943070703,0.3625986147196779
ASTEC,0.2791271675045457,0.32956836644955684
ASTRAMICRO,0.161402968656438,0.2818440963407382
ASTRAZEN,0.09032344554752694,0.2389169962844062
ATLANTAA,-0.16948508280282445,0.3586259394280876
AURIONPRO,0.039678276673445485,0.3420305810358483
AUROPHARMA,0.13168226685288317,0.2787429996049949
AUSOMENT,0.03465650807746322,0.38380192800065804
AUTOAXLES,0.1539996632677669,0.25580235743521035
AVTNPL,0.22972786890587552,0.31186529518127193
AXISBANK,0.09924333356939892,0.2548864542685033
BAGFILMS,-0.042093445688920345,0.3821974737018077
BAJAJ-AUTO,0.0845412925170806,0.17783829801462125
BAJAJCON,0.05069277635992792,0.2174071672478419
BAJAJFINSV,0.26678385348216943,0.23619173112500913
BAJAJHIND,-0.1290363514426294,0.33685488851199236
BAJAJHLDNG,0.17722941064343603,0.20400618249971553
BALAMINES,0.32791754478840907,0.3156968937334124
BALKRISIND,0.28584757634800284,0.22741284218227073
BALMLAWRIE,0.06770092809478434,0.19171286626506387
BALPHARMA,0.0857482208566936,0.34990104534785554
BALRAMCHIN,0.14633693796437147,0.3104690374911976
BANARISUG,0.11975623312621618,0.24828650418863826
BANCOINDIA,0.10820444615481703,0.2916048728572826
BANKBARODA,-0.009189728524027607,0.2910260536342983
BANKINDIA,-0.15919855106016406,0.3114350529343635
BANSWRAS,0.05716841283883956,0.3146950059578973
BASF,0.13175935561996072,0.21929865084305183
BASML,0.008563435782045157,0.3226141512872092
BATAINDIA,0.17762291730293822,0.20047207452707147
BAYERCROP,0.13394850761586058,0.18040994088562476
BBOX,0.14073329829842507,0.3543498756943067
BBTC,0.19573757872331252,0.2812795579169035
BEDMUTHA,-0.07876050172263559,0.4054525318296714
BEL,0.14497491754304206,0.23684031291974528
BEPL,0.08564167560884688,0.3795574855385638
BERGEPAINT,0.2494375224373469,0.20531233495797482
BFINVEST,0.13583700267905258,0.34612124912173614
BFUTILITIE,-0.06813615332461598,0.35173717344254724
BGRENERGY,-0.18327528635053145,0.34181825490865825
BHARATFORG,0.13452489581558288,0.24380392873233575
BHARTIARTL,0.07569456118153191,0.2138554820488772
BHEL,-0.10664214717681177,0.3060532423816987
BIL,0.10760394878896803,0.3062374635222762
BIOCON,0.1195539062612585,0.2192477750703872
BIRLACABLE,0.16069722224915692,0.36332050075102584
BIRLACORPN,0.08858800630401661,0.24527812412702216
BIRLANU,0.15575497316065987,0.25623003220937823
BLISSGVS,0.09708781563237852,0.3194787212336177
BLUESTARCO,0.12864068271462456,0.2010437290397045
BOMDYEING,-0.012412702146716683,0.3439176809154076
BOSCHLTD,0.09305139534832106,0.1863748877661698
BPCL,0.12257642739016579,0.27465821252435707
BPL,0.07883293053129548,0.37433855270915267
BRIGADE,0.16692911732349586,0.26855492393348296
BROOKS,0.021179560051940976,0.368613743817907
BSL,0.17310247754076735,0.37473251961936516
CALSOFT,-0.07729736884988654,0.3624250982084234
CANFINHOME,0.28649761053576417,0.2658722893952578
CANTABIL,0.26032420385020905,0.3110230900678919
CARBORUNIV,0.18163670506944996,0.20729816702540824
CARERATING,-0.025225261213571337,0.23986913903683965
CCL,0.283717065371208,0.2431040311466438
CEATLTD,0.2194401322976269,0.2513333349026411
CELEBRITY,-0.0192513553120562,0.46079005948055674
CEMPRO,0.14694889910018974,0.3040614999569187
CENTENKA,0.060963757331086575,0.26315948749695867
CENTRALBK,-0.1434280909058101,0.2947384549472106
CERA,0.31014362636856163,0.22041846367397794
CESC,0.08007062982331019,0.23774805884960198
CGPOWER,0.09906631681766467,0.5113148852584188
CHENNPETRO,0.021491854533729815,0.3094965728501952
CINELINE,0.07949922110737304,0.43033289693868804
CIPLA,0.09035839137331947,0.17333172875301422
COALINDIA,-0.037005850602003884,0.23210058653739704
COLPAL,0.10680481212035002,0.1450438134152776
COMPUSOFT,0.020706635681021966,0.33871363036993085
CONSOFINVT,0.021899529433777022,0.32199094034698933
