,SOLARINDS,AJANTPHARM,ALKYLAMINE,NAVINFLUOR,RELAXO,PIDILITIND,VINATIORGA,KAJARIACER,AARTIIND,CERA,SCHAEFFLER,PIIND,EICHERMOT,GARFIBRES,SUPREMEIND,SRF,BALKRISIND,PAGEIND,VGUARD,TATAELXSI,RATNAMANI,GRINDWELL,BERGEPAINT,SHREECEM,HINDUNILVR,BAJAJFINSV,UNOMINDA,KPRMILL,KEI,HAVELLS,CCL,TORNTPHARM,SUNDRMFAST,JKCEMENT,POLYMED,JBCHEPHARM,SONATSOFTW,HDFCBANK,CANFINHOME,ZFCVINDIA,APCOTEXIND,SUNDARMFIN,TVSMOTOR,HCLTECH,TITAN,MPSLTD,SKFINDIA,SUPRAJIT,BALAMINES,TIMKEN,AARTIDRUGS,KNRCON,TIPSMUSIC,PVRINOX,BAJAJHLDNG,DIVISLAB,TCS,JKLAKSHMI,BATAINDIA,DABUR,ULTRACEMCO,PGHL,LINDEINDIA,CARBORUNIV,RSYSTEMS,GODREJCP,NATCOPHARM,CEATLTD,MMFL,MARUTI,3MINDIA,RAMCOCEM,TIIL,DCMSHRIRAM,FINPIPE,GHCL,TANLA,ELGIEQUIP,ICIL,LTFOODS,ESCORTS,ASTEC,GUFICBIO,APARINDS,VINYLINDIA,WELSPUNLIV,STERTOOLS,CANTABIL,SAKSOFT,TRIDENT,SOMANYCERA,TATACONSUM,FIEMIND,LGBBROSLTD,IGL,DHANUKA,NOCIL,COLPAL,UPL,GAEL
SOLARINDS,-1450.1978538837566,50.005517636268706,50.00991835429014,50.008501602987955,50.006246640435705,55.00506598028829,50.00695629122984,50.00729885460966,50.00873831625171,50.00717747299039,50.00518544856877,55.00729455506365,50.00794352793966,50.00800504305541,50.00629402004674,55.01012780645153,50.00646719644794,50.005884279663405,50.00655306325735,50.00980275409527,50.00640292045808,50.00768008740044,50.00626074771598,50.00747131986772,50.00322062533362,50.008785496533804,50.01028697229428,50.008760989441846,50.015191312433316,50.00825703693875,50.00969478657489,50.00547114073008,50.007596025141154,50.00909457420727,50.00462971753291,50.0066233119388,50.00912491567558,50.006177928236966,50.012086442235095,50.00463175164007,50.00821069162024,50.00380441931344,50.00982732574267,50.00446143028772,50.00793727339449,50.0072443095096,50.0071213583451,50.00947486108341,50.016495712688894,50.00826495594219,50.008623129100165,50.00831672704111,50.00839995218351,50.00720851818924,50.00632553019167,50.006390089524906,50.00357123758507,50.00879585957942,50.008905347555356,50.00352360373113,50.0076898742828,50.00741274113791,50.00818959591431,50.008620520795816,50.00534674456181,50.004723950509614,50.00652914555801,50.009680685555196,50.0087864040146,50.0082960434957,50.00680588979437,50.0082397326451,50.0131448925856,50.0115554896374,50.00958860136523,50.011471667310694,50.01194249524972,50.00616908507239,50.01098616915728,50.01285813267276,50.012284817654376,50.01032710512401,50.01290861874088,50.00904879971638,50.013444657030824,50.01281580237837,50.00819760456272,50.01008829662192,50.01059190743169,50.012236163870604,50.00913260141177,50.009545422573545,50.00782040710549,50.00917540120818,50.008306612423574,50.00916709538616,50.015376562949534,50.003352934335524,55.01003362126017,50.012167947569
AJANTPHARM,50.005517636268706,-1450.2254745802027,55.00860856306885,55.00849462369314,55.007588637788864,50.00735701045753,55.0094458692985,55.010882426133165,55.00903917691296,55.008586054777,55.00418148716065,50.01068240888088,50.010633567288494,55.009557553684935,50.00595234816346,50.0125872734421,55.00897892134118,50.0084854775859,55.008647073041004,50.01575967222745,55.007066913754215,55.00515264123321,55.00948620381741,50.007645334832155,50.0045737698802,50.01124600028593,55.0106213425693,55.01019972464486,50.0137788498326,50.0076336879363,55.010777550377604,50.00985012356277,55.0085509004027,55.00662909083239,55.007477909409836,55.01127245092422,55.01181238103232,50.00572048543086,55.01202251251239,55.00560249415228,55.00968046551855,55.007140694847855,50.00951944004629,50.006080985520725,50.0109762638558,55.0067434360739,55.00580745503829,55.006854476109126,55.01604039228266,55.01220091576559,55.012457787612064,55.00905227295194,55.00644283374716,55.00881647050425,50.007070509212596,50.01135341182843,50.004228163588486,55.01159580369046,50.0109006553285,50.00821814565268,50.00890398853069,55.006627788758344,55.00982235181889,55.00551986751928,55.008950287327714,50.01069896565236,55.01358492867676,55.01277353241277,55.00785686101373,50.01057966419402,55.008751259986425,50.01001503734149,55.01231364372561,55.013041414548816,55.0102453621399,55.012605806718035,55.01175920763818,55.006925764193525,55.01434375814594,55.012386206510236,50.01388243130421,55.011256315574286,55.01418199093935,55.01015331019705,55.014010828268354,55.01414265784765,55.010649529109514,55.007024423619804,55.012109465411186,55.014249660246044,55.012366698346256,50.01435506829333,55.00870613450952,55.01017933033566,50.00866906863373,55.00966625052222,55.014116218108555,50.00500612614181,50.011862581021575,55.013492312955
ALKYLAMINE,50.00991835429014,55.00860856306885,-1450.2518863951127,55.01531944082222,55.01125756129713,50.01128555153847,55.01378299958917,55.01212159917914,55.01734579463441,55.008040147008586,55.009318408952076,50.012520082022036,50.012945748141235,55.01448398847883,50.009846888537545,50.01831978358939,55.01235888948915,50.01150967178925,55.01171514608068,50.016304741025486,55.00951588382551,55.010768357237566,55.0123133901636,50.012121484094806,50.00588135822043,50.0154071054596,55.01508816050054,55.016027584161115,50.019593608290336,50.01161656553349,55.0138053098032,50.00840713043009,55.009972846499764,55.014045284636744,55.00844736474248,55.01015078650824,55.0143411493721,50.009094166978386,55.017163230372084,55.006358142022066,55.01618496636166,55.00877096596209,50.01375207412313,50.00714917035624,50.01241539352203,55.00941491366134,55.00952506968292,55.011727488101755,55.03752590420682,55.0107375220942,55.01678483892133,55.01430616700396,55.013123145219566,55.01569282073251,50.00928538323331,50.01154564885994,50.00550237446279,55.01496040501,50.014666545582365,50.006753658818276,50.01375284691395,55.013369429559354,55.01505481036598,55.01319105513867,55.009222325071875,50.00738732128994,55.011791929246016,55.0163458455787,55.01307245717645,50.013606013477094,55.00985872348322,50.01283658170221,55.014730754069426,55.01649570251028,55.01172377894462,55.01578234832867,55.01938617346664,55.00934345854321,55.01918071562889,55.01679126231314,50.020396545593634,55.01542873431104,55.01919145873541,55.0146134739984,55.01661909307317,55.018475372578806,55.014594980372905,55.01133328473427,55.01589923437421,55.01857424662412,55.01774653225867,50.015024188119604,55.016869126847205,55.01286988770996,50.012263505713555,55.01146479444593,55.02474841676776,50.007033223363216,50.013832305135374,55.0208633757787
NAVINFLUOR,50.008501602987955,55.00849462369314,55.01531944082222,-1450.2281519453518,55.011933004595896,50.00835236720906,55.01146366974897,55.01178127018793,55.01716073027243,55.010061218092744,55.00771768172836,50.01387857553303,50.0114016225226,55.01199407102615,50.00757237119252,50.019689991722615,55.01100036127395,50.010467870480866,55.00941145006313,50.01887883816918,55.00895530386767,55.00779194322081,55.01169330226785,50.01041310793154,50.006581833953305,50.01562809287436,55.013373608764454,55.014652104345046,50.019135325052495,50.01306080490349,55.01555768206343,50.009540794011656,55.01423536688684,55.01068424718017,55.011374648334694,55.01260524950311,55.0144374361655,50.0091669640371,55.0168147915624,55.00704836510801,55.01458262808544,55.00805075279765,50.013619520355576,50.00581921741985,50.01253474678823,55.01156190518613,55.00875022040438,55.0115675802889,55.02535644177075,55.01237539665418,55.01551428170145,55.01156733381842,55.01284520710083,55.01261590774795,50.01055807251328,50.011168507100386,50.006011778108245,55.01264645506277,50.01381614603199,50.008769076657515,50.01201606542586,55.009963284996466,55.011475652974404,55.011328217430396,55.008651469806594,50.00967493610704,55.011413274773076,55.01657260899246,55.01418511890394,50.01175726166691,55.009871401589834,50.01267076229213,55.01806862846139,55.0158661041364,55.01264405352372,55.015909271943386,55.021853546157935,55.00756722121749,55.01818725663582,55.017542328485014,50.01765326973666,55.01819690640846,55.018053437735574,55.012621383566795,55.01857615593428,55.01757674835781,55.01327150855673,55.011668204614935,55.017496911187614,55.01827789525148,55.01613171544044,50.015458138533226,55.01480684445171,55.01252663461071,50.01313376402607,55.01156945627738,55.02357756417718,50.00677919640822,50.015222336757596,55.01809523506144
RELAXO,50.006246640435705,55.007588637788864,55.01125756129713,55.011933004595896,-1450.207426155797,50.00627679825495,55.01049361891112,55.010910109865456,55.009335402656454,55.007785708711026,55.005266151576144,50.007046498924474,50.00883678630608,55.01028926516377,50.00608281415626,50.00990131887804,55.009628670186586,50.00660895431159,55.008844540961555,50.013384757014634,55.00628784520299,55.00671368714057,55.009397069523736,50.008014920111165,50.0038572966668,50.011083170279015,55.010807377728064,55.01081150010601,50.01259965615101,50.01106322791569,55.01240303611936,50.005661032498324,55.0081875064393,55.00743136436826,55.007911058683106,55.00806218836951,55.00930717806616,50.00707516654651,55.011675011493935,55.0049262606953,55.011736563722266,55.00614128360619,50.011203651856285,50.00613868558572,50.0105094171824,55.010025215791025,55.00742932645583,55.00955593148324,55.01333438577398,55.00941628424907,55.01003279103997,55.006386224448214,55.00787323631663,55.00877266784208,50.007158803390006,50.0069619292517,50.00461187423703,55.00990034776173,50.01273691490775,50.00666366765877,50.00831383455747,55.0072694352917,55.008450433311275,55.00742300550945,55.006258716240175,50.006294079728335,55.00907616158973,55.01140949573142,55.01007061412767,50.00974396019101,55.00642892569197,50.00928792038697,55.01278076752998,55.01036994580657,55.011741477342355,55.01090018387451,55.01362072846269,55.00795770516189,55.01418419703916,55.01021993606033,50.015586147970005,55.01170625928911,55.013280170876065,55.0100634634636,55.01497902846495,55.01204419302756,55.00977909270557,55.01071694188042,55.01158789572058,55.01655781827386,55.01351069103163,50.0108882909246,55.01026290619404,55.01050920136093,50.007508615286326,55.007284032814965,55.013907228134016,50.00509593289216,50.01024951455209,55.01221619352088
PIDILITIND,55.00506598028829,50.00735701045753,50.01128555153847,50.00835236720906,50.00627679825495,-1450.1565424475002,50.00782237109623,50.01012522508966,50.0092567901106,50.00646378918669,50.006410716942206,55.00931244829116,50.012466018785304,50.00621435099106,50.00693785662141,55.012458656642615,50.007757096223955,50.010625096053225,50.00919376593703,50.01093155889111,50.00461823327188,50.006277904592,50.01489182380593,50.010726175919984,50.008364162535,50.01283657194835,50.010977099189624,50.0098818432995,50.01221528379656,50.012080007264025,50.00872526747902,50.00586807427637,50.00890511669725,50.009358160907055,50.00640234605213,50.00709262589352,50.00805075217854,50.00887434844221,50.01426279174958,50.00634196126746,50.0101086463264,50.006906731241706,50.010634559137536,50.00662029352054,50.01207700651901,50.00820404444553,50.00798456900626,50.00806258638407,50.0138773266605,50.00876385654118,50.00863591022845,50.00903918735718,50.00709112426838,50.009779372370716,50.00664894561213,50.00933356654298,50.00599649426965,50.010854090110136,50.010765634355934,50.0095661228223,50.01204289402663,50.006167201049585,50.007814222564,50.00744713335516,50.00621026346361,50.009976935959564,50.00697822958411,50.013087362990305,50.00794319914921,50.01214249952763,50.00766357736332,50.01202005843779,50.011101263671286,50.0088178385803,50.01001153132673,50.011790850150625,50.00989938992121,50.00718901441674,50.0108210937216,50.00923359944363,50.01408433948272,50.010881858413626,50.01133718852074,50.00933880852158,50.01018082654717,50.01153331548431,50.00894603657835,50.00584188759305,50.01061801066841,50.011412783268824,50.010401226027355,50.011858314400506,50.01019714838422,50.00955925004234,50.00848337441893,50.00677352290839,50.01622878140482,50.007583431290534,55.01224582248563,50.01123295595976
VINATIORGA,50.00695629122984,55.0094458692985,55.01378299958917,55.01146366974897,55.01049361891112,50.00782237109623,-1450.2035540329855,55.00931052747844,55.01329643912711,55.00863486218587,55.00676195246544,50.00852482770791,50.012018228681164,55.01054767934928,50.008147248246544,50.011936885597144,55.01094470229971,50.009568518373776,55.00888658967574,50.014095124303076,55.0076719262786,55.007328129468156,55.009526586800135,50.00911568402057,50.00345497704662,50.0122800516195,55.01206923404599,55.009617717192334,50.01723439993199,50.01016058552941,55.012539356063215,50.007856060995515,55.010864948699,55.009385145757264,55.009171921868365,55.01203852122741,55.01157866440862,50.00621085566261,55.01545228947777,55.006381855919344,55.01150593953696,55.008579603465975,50.0096688573085,50.00684851414343,50.00997531581032,55.00965325182406,55.008368866536586,55.0124202254768,55.01729261175157,55.010615741138444,55.011526481235414,55.00976775100687,55.0080060298341,55.009315653822995,50.008403183557995,50.008126033511225,50.00404673271181,55.01125515503495,50.01239789977638,50.00665770735905,50.009621072923224,55.0078460222686,55.00886733659101,55.008647132990816,55.0095971671755,50.00761945397188,55.01105156119013,55.015730604874854,55.009149751226296,50.00912984554745,55.00803845547034,50.009828124616966,55.012116007777934,55.01365434122095,55.011389072595094,55.01424022641838,55.01526113674554,55.01107824786435,55.01506802757337,55.01422410875748,50.015442428675215,55.01506924865814,55.01384184634558,55.0120979543707,55.012774479214386,55.01303559492205,55.01359009199998,55.01117372517477,55.01446165476456,55.01526785618444,55.0142768411555,50.0126194768292,55.01225687249466,55.0135467802555,50.008363059505676,55.008738859908576,55.017811915479555,50.00518522979874,50.011398808559946,55.0154633486744
KAJARIACER,50.00729885460966,55.010882426133165,55.01212159917914,55.01178127018793,55.010910109865456,50.01012522508966,55.00931052747844,-1450.17643720582,55.01098735855641,55.01214095624552,55.00770559037174,50.01007018116006,50.012494964987354,55.00853201451462,50.00881428016165,50.01538225947484,55.01033182458818,50.01109730967892,55.010661205083515,50.01368954389683,55.0069732064889,55.00765052185445,55.0110953112761,50.010849430328,50.005853754304695,50.01569562957597,55.01395459738153,55.01276924330488,50.01542557374332,50.01369634777072,55.01180599346922,50.00599701561869,55.011270255728974,55.012611466488465,55.007391345392705,55.008817995249096,55.01182463623384,50.00888229525767,55.01770898077648,55.00599222030845,55.01092459070886,55.007796011537636,50.01236808179223,50.00796497809144,50.01278359222607,55.009428509585085,55.00855812491605,55.01071436461816,55.01589184620592,55.01086895776216,55.010023613846926,55.01161400029903,55.00909394440205,55.01196711838102,50.00933003092488,50.00819395688338,50.00555972497893,55.01362551041409,50.01310740615358,50.00771447223372,50.0125890791407,55.0086338671014,55.00887802921322,55.01110115593872,55.00770385629679,50.00854880420584,55.00792526116253,55.014789565918065,55.01200842265927,50.012345488920644,55.00779948075398,50.01381251560575,55.015600262810466,55.012295899690876,55.01135377786613,55.01374650254715,55.01486512768654,55.00646633053046,55.01488274052346,55.012057181615994,50.01751330555482,55.013349494990386,55.014973153304446,55.01179173127993,55.01359134048893,55.015419022638035,55.01379809765707,55.01025634774293,55.01007213431455,55.01334829168919,55.020466009152635,50.01345754014981,55.01213396974237,55.011892882228565,50.01013592138492,55.00811037541584,55.01791742019283,50.00630812927481,50.013462837159715,55.01452790506119
AARTIIND,50.00873831625171,55.00903917691296,55.01734579463441,55.01716073027243,55.009335402656454,50.0092567901106,55.01329643912711,55.01098735855641,-1450.1883039416516,55.011153172736066,55.009257674776634,50.012450611974764,50.01204970917614,55.012113261145096,50.00976223651697,50.01678447938767,55.01208226748371,50.01098129880619,55.010328086296575,50.01429897595803,55.007994143214106,55.01047865512173,55.01186089522543,50.0114380483645,50.00532156732534,50.015011752959516,55.0147603701049,55.01410312704338,50.019212129143334,50.01127843326601,55.01612648902335,50.0075002380524,55.01260259567941,55.01420010218133,55.00678027385461,55.010164613719034,55.014361552818265,50.009068434314194,55.01714975305132,55.00638832471011,55.014061318179394,55.008098185077,50.0133832169413,50.0075868111412,50.0125937640072,55.00998556314148,55.00959038237956,55.01041679722274,55.020774545702814,55.01118282697746,55.02200176241358,55.011464400690784,55.01172115159115,55.012797559645136,50.0091312278116,50.01084978592821,50.005463029192434,55.01380764769531,50.01293068253446,50.00637813298392,50.01177040077526,55.011033146827195,55.010843846159545,55.01083662920596,55.00981889041499,50.00890127852255,55.01248491102128,55.013486715163396,55.01353069921994,50.012154390852245,55.00964673046431,50.01169213405495,55.01803159190534,55.015738647163545,55.014549106443546,55.01758535038376,55.01790240520636,55.00783900421529,55.019334022132966,55.01617259718784,50.01746197052686,55.01659664036457,55.02081785383731,55.01296718046685,55.017179936596925,55.01389294873674,55.01439521313753,55.01208109261637,55.01549337164086,55.02003196007352,55.01545258982545,50.015736979564494,55.01455949702383,55.01221317252135,50.01165236329487,55.01148210134209,55.02274486620725,50.0061435828239,50.01514458367147,55.01899052215967
CERA,50.00717747299039,55.008586054777,55.008040147008586,55.010061218092744,55.007785708711026,50.00646378918669,55.00863486218587,55.01214095624552,55.011153172736066,-1450.1847157258535,55.00604555224165,50.00772893890656,50.00926561664773,55.01084145412199,50.00681381488899,50.01031505054545,55.00921954964926,50.00891632746895,55.00866699149373,50.01162883892386,55.00751352842979,55.00599802407389,55.00940903923074,50.00850282594114,50.00427497033305,50.01029236681207,55.01186793158116,55.011688903046235,50.01288140656997,50.009790778249275,55.01051181605716,50.00497544421246,55.008997758300865,55.0089346242005,55.00664873918913,55.008877161620696,55.009562431014025,50.00573491986553,55.01340131851168,55.00541384411755,55.00805113826045,55.00633152844095,50.00974170665709,50.006384382111115,50.00811970195903,55.0071368833868,55.005558132620216,55.006988784458784,55.01377394674432,55.008386761138155,55.01109313203068,55.007420403957305,55.01078265018958,55.01098588651406,50.005278875278826,50.005761371156424,50.005054555547474,55.00988863178348,50.00862343925074,50.00599646597605,50.009206062778325,55.00596086061861,55.0084750894874,55.0085199376165,55.00752579258177,50.00681453528469,55.00527955456219,55.011516044336915,55.00839234832501,50.010898786665294,55.00640236350778,50.00953091843598,55.01242549295577,55.01288359462716,55.01162605083147,55.0109494067838,55.011262791024784,55.007226733970214,55.011343993645056,55.01113974929374,50.01329675636284,55.010214368063195,55.01300490387691,55.00905018660923,55.01267831517664,55.01149436504626,55.01164265641856,55.007986061556196,55.01093211374963,55.01257109188335,55.01660716934373,50.01144265119359,55.00931166404705,55.00893155391111,50.00616282305903,55.006852794454694,55.014885539796325,50.00463414111725,50.010943248317375,55.012963813579745
