,Classical,Quantum
AJANTPHARM,0.11610466482815004,0.0
ALKYLAMINE,0.0775161193428708,0.0
BAJAJHLDNG,0.0,0.04675716737233405
CERA,0.07590489141938074,0.0
DABUR,0.0,4.893688599156891e-19
EICHERMOT,0.0,0.1199999999954743
ESCORTS,0.0,2.718751481768834e-16
GARFIBRES,0.04566959984075483,0.0
HAVELLS,0.0,0.050851003038572394
HCLTECH,0.0,0.09502840349333282
IGL,0.0,2.0263672331899704e-16
MPSLTD,0.0260092832225922,0.0
NAVINFLUOR,0.06647264769347763,0.0
PAGEIND,0.0,0.11999999999547428
PIDILITIND,0.0,0.11999999999547428
PIIND,0.0641550388758888,0.0
POLYMED,0.052875931117253326,0.1199999999954742
RAMCOCEM,0.0,5.469527407143895e-17
RATNAMANI,0.05587369027485423,0.0
RELAXO,0.08941549432292394,0.0
SCHAEFFLER,0.08816263258944726,0.0
SHREECEM,0.0,0.07541801611903094
SOLARINDS,0.12,0.0
SUPREMEIND,0.0,0.11999999999547432
TCS,0.0,0.011945410003883826
TIPSMUSIC,0.027868405539511372,0.0
TORNTPHARM,0.0,0.11999999999547423
UNOMINDA,0.024518824957121276,0.0
VINATIORGA,0.06945277597577354,0.0
