Asset,Downside_Risk_Annual
20MICRONS,0.3064727289954836
3MINDIA,0.19017642008565536
A2ZINFRA,0.4105362241510386
AARTIDRUGS,0.2484582420954759
AARTIIND,0.2260408331233882
ABAN,0.31658060057709453
ACC,0.19486990576443
ACE,0.3360796639057292
ADANIENT,0.6375859634874654
ADFFOODS,0.29317298526497837
ADOR,0.2693139213446633
ADROITINFO,0.33022610768856875
AEGISLOG,0.2875573879283333
AGI,0.4356359834758888
AHLUCONT,0.3011477450868926
AJANTPHARM,0.22708018843915084
AKSHOPTFBR,0.3464353744936863
AKZOINDIA,0.16471231690441115
ALEMBICLTD,0.3082862598731169
ALICON,0.3306442607405712
ALKALI,0.3433301714557071
ALKYLAMINE,0.2576966222762621
ALLCARGO,0.2677430651949733
ALLDIGI,0.34707880132668895
AMBIKCO,0.23879393375729507
AMBUJACEM,0.22890507753626024
AMDIND,0.3734951081178559
AMJLAND,0.3693884538780132
ANANTRAJ,0.35143296823195636
ANDHRSUGAR,0.26226944474205943
ANTELOPUS,0.27968367278149314
APARINDS,0.26055512349942195
APCOTEXIND,0.25985576537183824
APOLLOTYRE,0.28286760791410287
APTECHT,0.31967355660202806
ARCHIDPLY,0.3899225182353721
ARIES,0.3326586127239699
ASAHIINDIA,0.2565840450194919
ASAHISONG,0.3222715943274721
ASAL,0.35649724310324793
ASHAPURMIN,0.36088081492441576
ASHIANA,0.265443433290483
ASHIMASYN,0.4158074130432025
ASHOKLEY,0.32320125991415793
ASIANHOTNR,0.28199242052258383
ASIANTILES,0.3625986147196779
ASTEC,0.32956836644955684
ASTRAMICRO,0.2818440963407382
ASTRAZEN,0.2389169962844062
ATLANTAA,0.3586259394280876
AURIONPRO,0.3420305810358483
AUROPHARMA,0.2787429996049949
AUSOMENT,0.38380192800065804
AUTOAXLES,0.25580235743521035
AVTNPL,0.31186529518127193
AXISBANK,0.2548864542685033
BAGFILMS,0.3821974737018077
BAJAJ-AUTO,0.17783829801462125
BAJAJCON,0.2174071672478419
BAJAJFINSV,0.23619173112500913
BAJAJHIND,0.33685488851199236
BAJAJHLDNG,0.20400618249971553
BALAMINES,0.3156968937334124
BALKRISIND,0.22741284218227073
BALMLAWRIE,0.19171286626506387
BALPHARMA,0.34990104534785554
BALRAMCHIN,0.3104690374911976
BANARISUG,0.24828650418863826
BANCOINDIA,0.2916048728572826
BANKBARODA,0.2910260536342983
BANKINDIA,0.3114350529343635
BANSWRAS,0.3146950059578973
BASF,0.21929865084305183
BASML,0.3226141512872092
BATAINDIA,0.20047207452707147
BAYERCROP,0.18040994088562476
BBOX,0.3543498756943067
BBTC,0.2812795579169035
BEDMUTHA,0.4054525318296714
BEL,0.23684031291974528
BEPL,0.3795574855385638
BERGEPAINT,0.20531233495797482
BFINVEST,0.34612124912173614
BFUTILITIE,0.35173717344254724
BGRENERGY,0.34181825490865825
BHARATFORG,0.24380392873233575
BHARTIARTL,0.2138554820488772
BHEL,0.3060532423816987
BIL,0.3062374635222762
BIOCON,0.2192477750703872
BIRLACABLE,0.36332050075102584
BIRLACORPN,0.24527812412702216
BIRLANU,0.25623003220937823
BLISSGVS,0.3194787212336177
BLUESTARCO,0.2010437290397045
BOMDYEING,0.3439176809154076
BOSCHLTD,0.1863748877661698
BPCL,0.27465821252435707
BPL,0.37433855270915267
BRIGADE,0.26855492393348296
BROOKS,0.368613743817907
BSL,0.37473251961936516
CALSOFT,0.3624250982084234
CANFINHOME,0.2658722893952578
CANTABIL,0.3110230900678919
CARBORUNIV,0.20729816702540824
