Date,TVSMOTOR,CUMMINSIND,ADANIPOWER,BHARTIARTL,FORTIS,PERSISTENT,TORNTPHARM,MAXHEALTH,OIL,ABB,SUNPHARMA,NTPC,M&M,TRENT,BHEL,PRESTIGE,JINDALSTEL,TITAN,SBIN,TATAPOWER,ASHOKLEY,VEDL,EICHERMOT,NMDC,LT,JSWSTEEL,BAJAJ-AUTO,IOC,CHOLAFIN,HINDALCO,APOLLOHOSP,POWERGRID,TATASTEEL,INDIGO,OBEROIRLTY,ESCORTS,ONGC,ICICIBANK,HINDPETRO,SBILIFE,LUPIN,BOSCHLTD,ALKEM,GRASIM,ADANIENT,MARICO,SAIL,MARUTI,COFORGE,ADANIPORTS,HINDZINC,DLF,DIVISLAB,BAJAJFINSV,BRITANNIA,TATACONSUM,ULTRACEMCO,SIEMENS,HEROMOTOCO,AXISBANK,CIPLA,PIDILITIND,BAJFINANCE,AMBUJACEM,HDFCAMC,GODREJCP,AUROPHARMA,BPCL,ITC,DRREDDY,MOTHERSON,NESTLEIND,VOLTAS,MPHASIS,HCLTECH,PIIND,TECHM,RELIANCE,GODREJPROP,DMART,ICICIGI,HAVELLS,LTTS,COLPAL,ADANIGREEN,PAGEIND,CONCOR,BIOCON,UPL,WESTLIFE,RAMCOCEM,INDUSINDBK,HDFCBANK,WIPRO,KOTAKBANK,JUBLFOOD,INFY,HDFCLIFE,ASIANPAINT,HINDUNILVR
2024-03-11,2268.35,2795.85,113.4,1196.6,412.7,4117.3,2697.8,765.6,410.25,5841.35,1593.6,347.95,1894.35,4004.7,254.55,1179.65,827.75,3750.15,773.7,413.15,82.3,264.35,3783.9,76.28,3640.6,829.8,8659.4,174.25,1095.45,533.7,6204.7,285.55,153.45,3218.55,1359.1,2838.1,274.0,1078.7,341.25,1532.1,1676.65,29431.2,5157.25,2236.8,3207.35,509.2,134.3,11395.55,1249.5,1326.95,308.4,911.25,3604.75,1598.8,4937.4,1220.65,9697.9,4730.85,4671.7,1105.1,1504.1,1453.2,643.5,602.05,1884.0,1238.3,1064.7,313.2,409.4,1277.5,77.54,1305.8,1073.65,2469.7,1638.65,3652.1,1289.0,1466.6,2421.15,3979.65,1654.35,1542.45,5270.8,2606.85,1930.3,35863.25,764.6,279.2,476.55,747.45,810.55,1541.05,713.9,257.3,345.9,450.85,1600.6,620.85,2876.85,2389.85
2024-03-12,2242.6,2759.7,111.2,1204.25,409.3,4105.4,2673.95,768.0,408.5,5718.0,1584.3,344.75,1895.15,4008.6,244.1,1158.4,807.15,3748.8,759.7,396.1,81.2,259.3,3810.75,74.49,3621.65,817.8,8527.7,172.9,1066.45,528.95,6144.8,285.15,152.5,3242.95,1325.4,2816.35,270.4,1076.85,342.9,1516.4,1646.05,29473.0,5056.8,2184.0,3122.5,503.6,129.75,11509.9,1252.5,1301.3,308.45,864.4,3577.75,1593.55,4869.15,1215.2,9615.5,4782.45,4658.9,1097.0,1465.75,1428.0,643.5,587.55,1844.5,1212.35,1044.7,312.7,404.45,1260.45,77.34,1295.1,1053.95,2426.35,1635.6,3639.95,1292.3,1475.4,2319.2,4031.7,1661.1,1502.0,5271.05,2602.75,1897.1,35141.45,740.0,270.35,474.05,746.5,808.5,1533.05,729.8,255.4,344.1,445.0,1612.95,621.55,2876.15,2378.15
2024-03-13,2146.25,2675.95,105.65,1168.75,385.55,4063.7,2663.95,744.45,382.55,5597.25,1558.6,322.5,1853.7,3944.05,225.3,1123.0,764.2,3625.7,747.25,371.95,77.4,240.9,3735.55,68.48,3538.55,792.95,8384.9,163.35,1048.3,507.0,6008.4,264.3,143.65,3112.55,1299.85,2712.9,255.35,1083.95,322.6,1487.35,1603.5,28300.3,4945.65,2149.1,2906.2,496.15,118.7,11390.15,1234.5,1209.55,301.8,830.15,3479.8,1573.15,4856.65,1178.95,9593.55,4650.1,4512.1,1080.4,1471.25,1411.6,645.5,559.25,1818.0,1196.05,1005.6,298.9,422.45,1260.75,73.47,1291.5,1042.5,2375.3,1631.5,3580.8,1277.2,1432.2,2205.25,3967.8,1643.25,1474.05,5154.4,2572.4,1725.0,34031.75,689.95,252.85,451.9,715.8,790.25,1502.65,730.2,252.2,345.9,431.0,1611.4,610.05,2860.15,2312.6
2024-03-14,2149.8,2724.05,107.55,1194.6,402.3,4154.3,2690.4,732.35,382.1,5625.4,1570.2,321.85,1890.55,4081.1,226.45,1071.7,781.6,3640.15,741.05,384.45,79.6,249.15,3772.65,67.31,3608.2,785.45,8383.55,170.35,1070.85,525.25,6023.15,266.35,142.45,3176.6,1325.6,2746.2,263.25,1083.6,333.4,1505.85,1649.7,29401.0,4985.35,2196.5,3087.45,506.05,121.5,11404.6,1217.5,1267.85,304.2,840.65,3517.9,1563.7,4938.9,1198.35,9696.95,4751.4,4675.3,1058.25,1496.65,1430.5,639.5,582.45,1877.5,1227.4,1011.3,304.4,419.65,1258.9,75.0,1306.4,1073.65,2482.55,1679.25,3650.4,1293.35,1431.5,2169.0,4019.25,1661.9,1516.95,5262.9,2687.4,1895.3,34385.15,694.35,267.4,462.1,739.8,798.75,1476.75,727.7,259.0,348.5,444.95,1653.3,622.25,2892.25,2334.6
2024-03-15,2066.45,2707.65,106.1,1220.0,388.85,4216.2,2594.45,726.95,370.45,5616.55,1548.2,316.3,1799.5,4063.9,216.75,1043.5,767.75,3633.2,731.9,380.75,78.45,254.1,3745.65,66.11,3537.15,780.65,8350.7,161.0,1067.85,532.55,5983.2,265.95,141.7,3203.1,1325.7,2702.55,258.75,1080.35,312.6,1500.0,1636.8,29571.55,5045.2,2197.1,3132.2,500.15,121.7,11476.65,1223.5,1283.0,289.4,823.7,3485.4,1571.45,4974.2,1212.15,9632.95,4771.3,4585.3,1046.4,1488.05,1434.0,651.5,600.75,1909.5,1212.7,1001.35,293.2,419.1,1257.0,74.24,1301.8,1065.35,2487.85,1647.3,3649.15,1282.2,1418.2,2218.25,3932.1,1651.35,1482.3,5419.35,2728.55,1902.6,34661.3,692.6,251.65,475.15,740.25,806.75,1484.35,726.3,258.5,347.7,447.55,1634.0,632.35,2867.55,2327.7
2024-03-18,2031.45,2712.7,105.9,1225.3,401.25,4089.7,2569.65,730.45,363.5,5766.75,1571.25,317.15,1856.05,4071.05,224.3,1005.15,808.0,3579.7,730.95,392.75,78.85,260.05,3699.7,67.56,3561.2,804.4,8521.8,160.8,1056.4,531.15,6136.55,264.9,149.7,3249.2,1347.35,2701.4,261.6,1081.2,307.45,1489.7,1614.4,29814.3,4975.65,2203.1,3111.75,497.5,125.95,11636.3,1139.5,1266.6,295.45,836.25,3506.6,1577.05,4980.0,1186.95,9611.35,4834.4,4554.2,1061.35,1488.45,1462.6,650.5,584.65,1870.5,1241.7,1017.6,291.15,417.45,1268.2,75.24,1290.2,1056.6,2461.85,1643.4,3730.6,1272.65,1439.5,2162.95,4010.55,1656.35,1501.65,5387.0,2733.95,1869.9,34817.6,683.9,250.65,466.05,740.25,803.8,1480.7,723.0,255.1,347.6,440.65,1602.65,634.1,2846.5,2299.95
2024-03-19,2041.8,2715.75,103.65,1228.35,400.05,3989.7,2501.5,734.85,363.8,5628.6,1548.45,313.45,1843.9,3955.65,218.8,992.6,794.25,3583.4,723.8,383.25,78.4,255.65,3716.85,66.76,3501.7,801.05,8640.2,155.25,1046.75,533.65,6113.2,259.0,148.75,3233.0,1360.5,2713.55,259.25,1083.95,297.0,1461.35,1570.2,29746.9,4871.8,2173.8,3052.7,490.05,122.55,11597.05,1111.5,1241.2,293.4,823.05,3447.15,1581.5,4816.95,1146.25,9453.25,4639.85,4541.75,1050.8,1435.7,1445.7,659.5,580.3,1833.0,1204.35,990.4,278.85,409.55,1227.0,74.1,1248.0,1046.25,2387.8,1599.15,3702.5,1252.25,1425.25,2135.55,4014.1,1657.0,1457.25,5190.55,2612.4,1821.55,34032.85,665.35,245.75,461.05,730.8,797.35,1434.1,724.7,247.4,349.9,445.9,1561.45,632.5,2815.1,2266.95
2024-03-20,2034.95,2793.8,102.95,1231.8,400.1,4001.2,2518.95,757.85,376.8,5733.7,1549.35,313.65,1844.4,3965.05,224.75,1036.55,782.35,3590.5,736.25,379.9,78.3,256.65,3873.6,68.59,3509.7,794.65,8635.6,158.25,1044.8,527.85,6174.05,264.65,145.65,3213.65,1383.8,2740.1,263.85,1084.5,302.45,1458.4,1562.9,29870.4,4784.15,2167.5,3051.45,492.6,123.65,11941.15,1106.0,1245.4,291.7,825.95,3428.3,1584.7,4802.9,1124.05,9484.55,4709.55,4510.45,1034.75,1417.4,1435.9,665.0,576.35,1805.5,1215.2,1017.25,283.3,415.7,1220.65,74.74,1275.1,1047.85,2384.65,1587.1,3635.3,1264.3,1443.75,2139.9,4056.35,1640.4,1461.2,5191.9,2664.6,1847.75,33233.85,671.7,246.85,455.45,742.4,799.5,1441.55,715.5,246.75,353.1,443.6,1554.95,626.4,2824.9,2241.95
2024-03-21,2055.05,2898.25,104.85,1220.8,401.55,4102.4,2554.4,748.8,394.0,5864.9,1565.2,325.0,1865.85,4001.85,237.2,1048.65,821.55,3627.55,744.3,392.15,80.95,262.4,3918.95,69.26,3560.0,812.35,8750.6,164.5,1074.2,539.7,6182.5,273.75,150.1,3290.15,1424.75,2763.15,262.95,1081.8,315.0,1468.05,1611.65,30066.25,4795.95,2205.55,3066.5,500.7,129.0,11908.15,1141.5,1262.45,293.9,857.7,3465.3,1602.6,4806.7,1133.95,9600.75,4942.35,4519.9,1035.6,1448.7,1450.7,671.5,587.2,1835.5,1231.65,1028.25,293.9,421.25,1225.65,76.84,1276.8,1083.95,2436.85,1595.8,3751.1,1282.75,1451.0,2223.55,4163.1,1673.05,1485.05,5457.5,2679.15,1855.35,34092.85,698.55,248.7,455.55,744.7,813.85,1484.1,722.9,250.2,354.4,450.3,1554.7,622.25,2821.15,2242.35
2024-03-22,2050.8,2930.8,106.2,1236.1,404.7,3985.7,2559.8,739.05,387.85,5967.4,1608.9,324.75,1878.8,3948.6,239.1,1100.5,832.9,3706.7,746.7,390.7,80.85,260.1,3988.4,67.89,3617.8,824.8,8945.25,165.15,1089.4,547.75,6375.9,275.75,151.8,3286.8,1446.85,2750.65,263.25,1090.3,315.65,1501.1,1608.25,30178.7,4789.75,2223.55,3107.7,497.75,130.0,12337.7,1108.0,1281.6,296.0,865.9,3431.45,1587.55,4865.0,1122.75,9681.75,4991.55,4684.0,1033.3,1481.25,1480.0,676.0,589.35,1886.5,1221.65,1019.85,296.4,428.6,1240.65,77.54,1286.7,1064.95,2389.4,1557.85,3791.15,1262.65,1455.0,2246.45,4297.6,1669.85,1469.25,5369.85,2708.05,1851.75,34449.85,694.5,252.2,470.0,761.1,806.45,1512.1,721.4,243.55,355.3,452.45,1508.85,623.85,2841.5,2256.55
