,TVSMOTOR,PERSISTENT,TRENT,ADANIPOWER,PRESTIGE,NTPC,ABB,MAXHEALTH,ITC,LT,TITAN,BHEL,TATAPOWER,SUNPHARMA,OIL,CUMMINSIND,BHARTIARTL,IOC,OBEROIRLTY,SIEMENS,ADANIENT,FORTIS,CHOLAFIN,NMDC,DLF,ESCORTS,ALKEM,M&M,POWERGRID,JINDALSTEL,COFORGE,JSWSTEEL,TORNTPHARM,BAJAJ-AUTO,TATACONSUM,APOLLOHOSP,TATASTEEL,NESTLEIND,ONGC,LTTS,SBIN,HINDALCO,ICICIBANK,COLPAL,INDIGO,AMBUJACEM,BRITANNIA,BAJAJFINSV,PIDILITIND,ULTRACEMCO,GODREJCP,MPHASIS,SBILIFE,HINDPETRO,CIPLA,GRASIM,SAIL,EICHERMOT,WESTLIFE,HCLTECH,PIIND,INDUSINDBK,BOSCHLTD,AXISBANK,ASHOKLEY,MARUTI,CONCOR,ASIANPAINT,MARICO,ADANIGREEN,ADANIPORTS,GODREJPROP,PAGEIND,BAJFINANCE,DRREDDY,DMART,VEDL,AUROPHARMA,TECHM,RELIANCE,LUPIN,ACC,HEROMOTOCO,HAVELLS,TCS,HINDUNILVR,DIVISLAB,INFY,WIPRO,HINDZINC,BATAINDIA,HDFCBANK,HDFCAMC,BPCL,SHREECEM,RAMCOCEM,JUBLFOOD,DABUR,UPL,KOTAKBANK
TVSMOTOR,0.08222729229032116,0.011214492178861266,0.0229026546190659,0.03695246836324379,0.02197929547854812,0.012223720937889504,0.019951660620622653,0.014457072701418423,0.013563331412328067,0.019975171151232103,0.026178876847125745,0.034036569523249016,0.031264399308718736,0.013714087334713625,0.005665298700595926,0.017510454783848894,0.014210481165178581,0.016739415607606216,0.032198007236648576,0.024443887095811776,0.033507606342405565,0.010834413691144724,0.03100409843342358,0.01108741517808033,0.03568481250058507,0.016932846271928117,0.004569845997255633,0.029217360907843368,0.012080888248695623,0.025332005456663996,0.015278598391404797,0.01756785930037359,0.006633629494623679,0.02772728500969012,0.018248557934445745,0.0137538308958183,0.021535061892717904,0.010105888954205606,0.00788319429905657,0.013886975910284552,0.02143429651908687,0.017882024015382254,0.01714357365809373,0.008116693555269757,0.023539610443767102,0.02340596269240014,0.00843601646892649,0.024036672644750897,0.015471690839838195,0.020207358832942616,0.014601268591843804,0.014678948490753973,0.0178632326340747,0.016107915732133753,0.004681068359958268,0.02251812348677043,0.026741663383644903,0.03369318321904307,0.020095026198060525,0.004467910102976834,0.01570742503135341,0.02890347565676069,0.027818037629314656,0.02041525626239797,0.03821912346183976,0.02762907954581374,0.02289879555779438,0.013942484445584548,0.010148661198013888,0.019398391462618788,0.030438342556109867,0.029519177737464763,0.020005503742220463,0.027183225048826733,0.005754379776808715,0.020370897137442875,0.020202363560254216,0.011730418662660906,0.011590319331338896,0.017493390791894162,0.010142554290119874,0.021637487088454515,0.03275800665456412,0.018286983026987138,0.005647935220556695,0.012744134058473432,0.008540858422950475,0.006576632092951537,0.010960913984433709,0.012758628740251172,0.020389778546683196,0.014664701421059462,0.015848260889723097,0.01501049657293461,0.01978013424013634,0.02237032718555092,0.024046670408150016,0.008852153745417809,0.018175364848401657,0.018772094001844184
PERSISTENT,0.011214492178861266,0.12320457556248474,0.024333262499291138,0.03088629908813647,0.021882561581108583,0.01852386243161842,0.016411679550899557,0.017537383002045184,0.016208922694306738,0.024306153793756516,0.0188566909053655,0.039591773477640674,0.03253076510539862,0.019610394354730696,0.02102345123203089,0.016360480957259196,0.0188452177903578,0.016037257798455617,0.02977286437169081,0.018223647744904824,0.03325128592845001,0.025737953904411016,0.025437872026473383,0.03243723501936792,0.03937489739593403,0.012634500549449777,0.01213092986147701,0.01716586551555015,0.012540861332538875,0.03683327356228007,0.0748640341755234,0.029887631395433916,0.013327625081028919,0.01208472356221578,0.020243383539914114,0.030419678865859532,0.03587974986848947,0.009738345305748835,0.018963582841258552,0.06584311685419378,0.02327904820672735,0.04323219558854486,0.019004897304588486,0.01217689635342971,0.025175676328489157,0.01835231856462337,0.010963156528463967,0.024387210063627034,0.01639279832260189,0.020654248041115084,0.0087438661371669,0.06751825189775322,0.018473265859876232,0.013657429475794113,0.011025900300213047,0.02278790709291882,0.047742697844000245,0.014780800237907031,0.012975519050551625,0.04507994116084209,0.0234094789373402,0.026265728630929394,0.02186155389661385,0.017970465779898383,0.021822428265694905,0.01329916487896032,0.0163828475646427,0.01861812493507427,0.014584136209015199,0.007386853057698231,0.031142229745782127,0.03750729057843709,0.01981649956798922,0.025960667917699146,0.014910164111348512,0.01761686108209204,0.04232349982928771,0.024665709311407845,0.05009744149109655,0.019959123629459362,0.022015787525661044,0.019518009173313953,0.018813335900196716,0.020464847299056517,0.035516831182363824,0.01346991305034946,0.021329287790704667,0.0474530427390073,0.04583232778418297,0.011865728037945769,0.024267768077681464,0.01606128005633757,0.02298605135952479,0.017411111700148602,0.02021880231276682,0.022563830426823632,0.032874711437572236,0.011746302261845873,0.03064774213616663,0.013881593686452084
TRENT,0.0229026546190659,0.024333262499291138,0.09319229116491796,0.03587462044033181,0.025278397722616107,0.01658270074744878,0.020159019635171898,0.017951296786292578,0.013607421851877459,0.022839147116350173,0.03448333684093202,0.04180381126692844,0.04003855931852125,0.016634963808642204,0.008531590120795669,0.0258061470924541,0.014036292501741713,0.020663257308177467,0.036929779971393926,0.023123094247872886,0.03875176365169402,0.015411139612471744,0.03270665348141342,0.03758960223807115,0.04120489593874076,0.017707724930536083,0.012104266921266987,0.027827828014150027,0.013890792256986407,0.03352503289723364,0.027823514144596953,0.027549191935864793,0.015146124015812248,0.01733566797161527,0.024898532654109115,0.02081947155835512,0.030189473328721118,0.010166906143795704,0.017163337307787522,0.02837838705407846,0.024064972861846314,0.03259776868352942,0.02101330423367854,0.012406640110727209,0.028015499249856805,0.018729941757459807,0.012698307380305501,0.03174499256838384,0.01968661711118666,0.021303665651835686,0.020078410217511864,0.01974766950916775,0.01378499210938543,0.02699094272890517,0.006319189808728204,0.023419224366586958,0.03140996886190801,0.028421121852121395,0.021595868365796484,0.015201745215617164,0.024456006171164314,0.02972321210265424,0.027601620126451926,0.02114587234929966,0.03364077430789422,0.020686504357224408,0.02355618992376093,0.016884785230082914,0.011176979940447555,0.02312349602495017,0.03664709541645408,0.04195681180928125,0.025420036936842874,0.03418948460302937,0.008836980142506709,0.0285566938990084,0.03126898342632744,0.02494908488935996,0.02211639995408776,0.024782335347257264,0.020441903762471375,0.02089664083826849,0.026009916216003695,0.021847426353752322,0.01241501649107513,0.01326013277256353,0.01400977553236023,0.015905668779204265,0.019332979906447573,0.013739938973988883,0.02817037826488515,0.01630166768259839,0.024995180863914793,0.02220523798067576,0.018323036794953226,0.023514699301989933,0.04005660311650754,0.01634056167125609,0.025017072156111,0.014985776633137467
ADANIPOWER,0.03695246836324379,0.03088629908813647,0.03587462044033181,0.3257508566684825,0.029568545548362385,0.0416559543598709,0.027753289182447696,0.027934024131121674,0.022756188786888846,0.03000198304910325,0.024896297550662198,0.08007574788778046,0.07969969438858787,0.015238338731029893,0.018556002815227006,0.0220648563338784,0.029525494615808598,0.03640876177559557,0.04800540527734397,0.026399090766699863,0.13665004901078595,0.036749469895524356,0.03647741535609513,0.05180818352758826,0.05712503870860655,0.024479505789954167,0.0077600870108939166,0.034196861760160915,0.028031108606215254,0.056127562390198525,0.0346435037316199,0.041986762166261925,0.016441322907462134,0.02526305089949587,0.030778120912711163,0.01416726279083826,0.04538339503462459,0.005260064895031406,0.02979017129297419,0.024787730530966206,0.034917442096717544,0.04824306830873272,0.02230998455506539,0.014030003986843037,0.04379320319849984,0.059591284105333264,0.0133760345636053,0.024988977980854202,0.020628907586985528,0.02658663454144336,0.015584151348122447,0.030584819569102265,0.019766355727615006,0.03808093378570066,0.006090302727937991,0.03253492318022031,0.062238541633139514,0.03644091860552873,0.022420450996517998,0.022070282774810705,0.041865581508188844,0.0409613789128464,0.030210401295748545,0.025281698892935488,0.04307629460887722,0.031274018507833956,0.035266194477699866,0.01450440789037943,0.017982093250651063,0.14470339220817405,0.11227140914135658,0.05041502133936418,0.03073582885671834,0.032206583066598155,0.011464792625011254,0.02604851447429772,0.05848617491660859,0.01938005857442762,0.035044097145737994,0.027409812894527923,0.020164029486714023,0.05379965529214049,0.032326197860510796,0.0324845085208714,0.01952289782509383,0.011235582034003428,0.0215336381545468,0.016985108981888552,0.025238179584553308,0.03233036474871769,0.04188880604406218,0.01948031905788744,0.02876204772649128,0.032753177525591426,0.03214035962591033,0.03342913420304506,0.040045770920777594,0.015619677253427847,0.0340249397766567,0.01915427566344595
PRESTIGE,0.02197929547854812,0.021882561581108583,0.025278397722616107,0.029568545548362385,0.155146759977634,0.017753215746696513,0.018214310564172605,0.013751769241622294,0.013020551757628515,0.02323020645079666,0.024739550961155408,0.05060246415407021,0.039501637516702236,0.008933525045530813,0.011295526903337788,0.0303900728869258,0.015691978318521732,0.02464589626312641,0.0629183166702633,0.02447271393810014,0.047778935250995476,0.015334380238705841,0.03770774431031413,0.043313231349275734,0.06199214597724641,0.022065947554663068,0.005031484921144552,0.026317414340859834,0.01015879801424392,0.037443662664986374,0.021642696447529558,0.03288745321723264,0.00569337542165844,0.017903459630194744,0.01916182097960696,0.016449686668257146,0.03431397997881171,0.0052361411856868675,0.018569799282932026,0.029700546909192303,0.027700990599515637,0.032258107631203785,0.01838756020831244,0.004916730257584908,0.02933900134894046,0.02818317480612539,0.01039424622961443,0.0266974768825458,0.013811526888765642,0.02194733649592668,0.014943430018956701,0.01979916286571885,0.02093119199095582,0.03315213154276529,0.0018704567695324444,0.024935986057953243,0.04237504213180252,0.02543371027238955,0.021815180878530568,0.012251935085473094,0.023531973482871445,0.022889758995904487,0.024465270062451777,0.024057707283515514,0.03337555480121121,0.016682549568280372,0.032189970657926545,0.012035607714912997,0.003925853076514378,0.0228991906780877,0.038955060203069145,0.06394154244393098,0.02002994888535086,0.02661823872542895,0.01273877593935555,0.019795600179124215,0.03528896664148131,0.023224132308400054,0.01991606027075549,0.02641366323003208,0.019301919904493738,0.026384688241720557,0.023968057408924465,0.029728655445677817,0.008480632446740436,0.006918805271474587,0.009186350245537234,0.013410507133371202,0.01558855871673248,0.01721417837401279,0.026262250615270676,0.013054111114749618,0.022107287016348016,0.028765697396751822,0.022240711452439797,0.026081141414882183,0.028869259752090197,0.010635887959536608,0.023178263777704274,0.018303434822872937
NTPC,0.012223720937889504,0.01852386243161842,0.01658270074744878,0.0416559543598709,0.017753215746696513,0.062301165599603206,0.008519292030821368,0.008991139824539541,0.013459378354851522,0.01632515551578811,0.01563518065329936,0.046315342235798675,0.04568455757430855,0.012522131591148624,0.02532107656214157,0.014815698527075039,0.01133074153424836,0.02879759980959337,0.02482648360734544,0.018473308934481566,0.035016846483521755,0.017635839005640364,0.017672326572239706,0.03656274421374405,0.02984843725825843,0.00871346978413419,0.008564896659256102,0.018552936012174545,0.03351417807521707,0.03141327589543366,0.012404851296619003,0.025288613453071863,0.0081458933878273,0.011316434503067607,0.014783681518239594,0.012783910313750382,0.0320928218584982,0.005643778956933929,0.03320440052165563,0.01779874042821517,0.024865316157325425,0.02895635468825738,0.015387449700477904,0.00820169651188122,0.017994797399298046,0.021474182820523637,0.004783809564668294,0.018213772515265,0.011363520373780037,0.012896378855989057,0.008253852520287316,0.015280139677372845,0.015045731625719256,0.023418240610134557,0.005378448378333413,0.019394795632065302,0.038878782417454405,0.014231730845666197,0.010977381486772643,0.012800063299302902,0.012932058525826474,0.022156921831800614,0.019920162996192675,0.016217264349598002,0.022606467541458997,0.01579957360042778,0.02046648497575175,0.003795970743324692,0.010419790607376496,0.022841714577665866,0.03185876224050408,0.029901051126605096,0.01022512408551993,0.018870398917492617,0.008710631810490317,0.01611677371505956,0.03685799261378682,0.01600032977139642,0.012532961881027102,0.01604895894636258,0.011355574044750457,0.019966964635348576,0.015199298445891546,0.013849963292245613,0.00746295919610129,0.0053626769791576675,0.00903984645349136,0.0077719395772007345,0.012355264676971204,0.016317762112584885,0.016045057567154398,0.010416204368908171,0.01625366155538947,0.02296541994263796,0.01787635675989474,0.01520416545216324,0.019566828759732424,0.008750226865210927,0.020501023164592454,0.013516656481131331
ABB,0.019951660620622653,0.016411679550899557,0.020159019635171898,0.027753289182447696,0.018214310564172605,0.008519292030821368,0.09435172232206267,0.012938186468548083,0.009557138069742501,0.018515979932386486,0.016838898081689115,0.03076546709774493,0.02465171791091296,0.0062034301459779305,0.014847993847482475,0.025051356319494983,0.012256028474045801,0.01639260078637501,0.02408173999979901,0.035290561523078814,0.039045111855989266,0.010773238278326143,0.022802783790175613,0.021334430497731226,0.027657722129347116,0.017534461524971966,0.00640810085151812,0.01725733651216936,0.009026610843874594,0.022707434189319045,0.023294208401396545,0.009370945833140633,0.010703481436354235,0.012440390356051581,0.01597180171541444,0.01510761007382688,0.017246737494759887,0.0043614424170656954,0.006531132019180079,0.01948813756603467,0.014230078664865092,0.016176300770692244,0.013273725027725551,0.008619460314755323,0.021766061877378614,0.02727114630937374,0.007562727301463314,0.017303380392437718,0.01506972439083677,0.016156685979657155,0.01602456000097695,0.01439533124916868,0.01383494244068308,0.01731835382961894,0.0012314184114833766,0.01770886652121878,0.027162471289864366,0.015081392825691554,0.016329460439639225,0.012256564076740334,0.0174471660662793,0.02096915962289631,0.017266043836640026,0.00877229483420084,0.02343359816377165,0.012810688321112521,0.024852541489899394,0.011571259993998214,0.011389156703936006,0.021775107205381037,0.03505353366339419,0.025967783570078815,0.015289132171726389,0.0145379716315642,0.0032670862768212506,0.01490262252272307,0.015833666114529056,0.008348778616347476,0.013248894808872745,0.010722748068850551,0.011485633016373729,0.025076646263352573,0.018635665618284215,0.02191674343464713,0.008468870875084494,0.00571354576316546,0.010519958609826078,0.01051087019412285,0.013815438328293591,0.014434398154236925,0.017142064356456932,0.009844238374152554,0.019607613439331723,0.01546248371208521,0.0183689537808947,0.01748495743806503,0.023335307241812743,0.011670544477574648,0.016959943686496164,0.007170515324900541
MAXHEALTH,0.014457072701418423,0.017537383002045184,0.017951296786292578,0.027934024131121674,0.013751769241622294,0.008991139824539541,0.012938186468548083,0.12815998839462434,0.005841358564690537,0.009841138155335272,0.01063529140886063,0.020565190684281143,0.0170723140320235,0.016486732764669887,0.011739664999672302,0.014634544920846832,0.009977044075434722,0.01245271805498246,0.01658832095234657,0.010409082171876994,0.021355907276251584,0.020702769521639165,0.011612676879495538,0.008458007431471529,0.022035370088904094,0.013630394072273615,0.00710459671160176,0.015211681967910423,0.0056978322646667546,0.019420461698460047,0.01898284950678794,0.012635694531069072,0.013349086089333322,0.009279054456309147,0.012125689904759263,0.0305523209398569,0.014452116929378664,0.004189232446123385,0.004627386463404223,0.017434231079640417,0.004841543910690858,0.013881434519262324,0.007157207295811808,0.006449481884918501,0.015820555573154704,0.015621446230028938,0.004487462697560546,0.010462071519286992,0.007495935127046142,0.01382534245818995,0.012849683775210341,0.014361172756933462,0.00597469856602783,0.012299382155845326,0.01131183612932034,0.011358075010952358,0.013514797517384635,0.014832302816386828,0.012003083292629717,0.011995952285861509,0.012602306788108062,0.01151601824266041,0.013030773019377745,0.009156137466116461,0.022111906357142785,0.012636564531906402,0.015745773507433124,0.007522586586553572,0.006831542971580505,0.008682486253185533,0.019011249942378797,0.017700350543952467,0.01110934626425122,0.011869780017767805,0.01317965800307992,0.010191899116149256,0.011656099419288113,0.013111393485336596,0.02072059053644133,0.010392974015796051,0.011133401075323335,0.013625371375239498,0.012851307529893857,0.0141919661489973,0.0064153847408869626,0.008161679430882663,0.022510545964622822,0.009435685974762515,0.012006703600008242,0.012430941418224711,0.014759095265442931,0.007311120084345534,0.017452347268666832,0.011103288733178366,0.011457335296813281,0.016874509745161102,0.02174070649474435,0.00788646903352209,0.011657867477984585,0.008886006876980261
ITC,0.013563331412328067,0.016208922694306738,0.013607421851877459,0.022756188786888846,0.013020551757628515,0.013459378354851522,0.009557138069742501,0.005841358564690537,0.04474228363604319,0.014772739879239884,0.013794732876928636,0.02580821399873693,0.027679946140105355,0.010443057129925775,0.008751819949186635,0.01340728799418134,0.01160605972152544,0.01598462168803314,0.018812632418814708,0.013715344613821996,0.01587211121988907,0.007886487290261182,0.022482114234095754,0.019246910405190523,0.025718397122686545,0.009886025002811476,0.006913023768717042,0.015220934081134745,0.01056466855226679,0.022102838669933223,0.011135255717076789,0.022584788220667916,0.008304507724927447,0.010214396853099775,0.014709835583643183,0.010036210014630873,0.02191844381592819,0.008115601055323916,0.01152851764448499,0.012886515916704207,0.018032957139053514,0.02065550411005057,0.01330263456337732,0.00808213680192569,0.019819438462844653,0.013929549368670285,0.012320441443542347,0.013692471396924984,0.01026158772889712,0.012067273728118208,0.01070357064545146,0.013960753921179563,0.009929430680048465,0.016394935249297724,0.004308904962682114,0.01739415704364075,0.02356264785246676,0.01390106111398813,0.008362477517296539,0.008149685131137606,0.016670879405885384,0.01928389063956132,0.01509790901774975,0.013830869506900918,0.018995060928593786,0.01130834136214399,0.014829429980160137,0.008724372391656762,0.010547339428816424,0.015670799885199753,0.021023843624660622,0.021473875719991802,0.01158891317987887,0.017120690297196574,0.007924141805438958,0.012103080808752274,0.02433797537314006,0.013404117812895175,0.011095197213770022,0.014936034939192102,0.006576098479409889,0.012673303250493397,0.013852199497556674,0.012158388933184102,0.006242635363508668,0.012559087970950612,0.009624642584158129,0.010087608369778229,0.011848388405275394,0.013811158132185768,0.014782550476891084,0.009753634640100395,0.014218901668302699,0.012743489525522296,0.013091368583650866,0.012238242118757065,0.013668776444847958,0.010362134372846582,0.019006649812935428,0.014005894192254283
LT,0.019975171151232103,0.024306153793756516,0.022839147116350173,0.03000198304910325,0.02323020645079666,0.01632515551578811,0.018515979932386486,0.009841138155335272,0.014772739879239884,0.050610863462030226,0.022317611366296813,0.034672955493548534,0.030249157083078227,0.013997469422083287,0.009341223829002114,0.018325967469245794,0.015592862068449459,0.01928142406408376,0.028700938014361244,0.022351201057794295,0.02824331417535774,0.01313774142321489,0.027239501482313334,0.026839193029758384,0.038650671437361506,0.010674618144557044,0.006830867492079473,0.02217589586658742,0.014901528093200061,0.02812119937176294,0.02268779368637794,0.024476094523452743,0.009490012065903409,0.015416193336630723,0.01803268745041374,0.01646627288803218,0.028382690413974662,0.00811678157360407,0.008453698422521073,0.03183998138216089,0.023259766858708026,0.03088052413907739,0.020560015279248663,0.0074043055148447,0.024591832974175665,0.021086117662741443,0.008851492870507426,0.025188964505887267,0.015291584614641456,0.019445489977866423,0.011942852879973924,0.02576524275565795,0.017153027962108276,0.017631538857585567,0.004617581085391515,0.02248317093542841,0.03043014937875242,0.01933027993288887,0.01450603115657135,0.017297081448665666,0.0189646068915957,0.026389522367690033,0.020020486114714454,0.020368387491083988,0.02914398716372488,0.01761588728261062,0.01767665462075056,0.01513157439579374,0.008387826564840018,0.021360994578014655,0.03130278119526571,0.03451302312176757,0.017322003997671864,0.025012987137352585,0.0104796960877624,0.020560289420526255,0.030310928578260444,0.013781431004178326,0.024042051276862493,0.018470275954824714,0.011255164901055102,0.019649807227636915,0.0208552851399573,0.02110111236051644,0.01628515648542239,0.009416281512198863,0.013604277404106909,0.02053298351235327,0.02092459366403038,0.018581123921475838,0.018869101567932596,0.019116049213220528,0.02198510656327583,0.018619123885522067,0.02058884324318437,0.01884374980923436,0.02552704045648219,0.010861310318175152,0.02515338508065122,0.017104933614411046
