stock,mean_return_annual
TVSMOTOR,0.49321292266088446
PERSISTENT,0.5788867011980421
TRENT,0.5006372465806667
ADANIPOWER,0.8656890531165373
PRESTIGE,0.5832063287614374
NTPC,0.41230019729199674
ABB,0.4675247336992508
MAXHEALTH,0.500705410938635
ITC,0.3177015238585461
LT,0.33282586255797825
TITAN,0.36228540621798133
BHEL,0.5702577429493182
TATAPOWER,0.4596270713208007
SUNPHARMA,0.2838984358667817
OIL,0.4555918101952917
CUMMINSIND,0.3267878077379706
BHARTIARTL,0.278354491518881
IOC,0.31952388638027707
OBEROIRLTY,0.41113889173150503
SIEMENS,0.30277789796051247
ADANIENT,0.5859344155047219
FORTIS,0.36076265285260145
CHOLAFIN,0.3738991413048393
NMDC,0.6943161285567054
DLF,0.374650846495452
ESCORTS,0.325927322439551
ALKEM,0.2535584645988028
M&M,0.2913712889110003
POWERGRID,0.27979350887726573
JINDALSTEL,0.3928435551840056
COFORGE,0.3751599736764829
JSWSTEEL,0.3213602047408251
TORNTPHARM,0.25813488381491984
BAJAJ-AUTO,0.24208061103837522
TATACONSUM,0.2335115601473152
APOLLOHOSP,0.2843399030910491
TATASTEEL,0.3008143686363807
NESTLEIND,0.18516599796422126
ONGC,0.2817139721549076
LTTS,0.2977444646527917
SBIN,0.22160013082681831
HINDALCO,0.2920751547598923
ICICIBANK,0.20151030676755569
COLPAL,0.17950119267938724
INDIGO,0.26263509409119157
AMBUJACEM,0.27679707807352016
BRITANNIA,0.18002689471437586
BAJAJFINSV,0.23591056293033189
PIDILITIND,0.18918701986126274
ULTRACEMCO,0.1938768267714355
GODREJCP,0.2219019922932162
MPHASIS,0.24683894506408424
SBILIFE,0.19048499752036005
HINDPETRO,0.25561547519776895
CIPLA,0.1847509747799723
GRASIM,0.18742863722324338
SAIL,0.27346465243398654
EICHERMOT,0.2007476962077037
WESTLIFE,0.21544472552432956
HCLTECH,0.17496145466155838
PIIND,0.21115752505195332
INDUSINDBK,0.21477423195923806
BOSCHLTD,0.1768863988057961
AXISBANK,0.1701236182660003
ASHOKLEY,0.20057917191500255
MARUTI,0.16367279387778277
CONCOR,0.1896768218606363
ASIANPAINT,0.15424634244079644
MARICO,0.1468015886338828
ADANIGREEN,0.2650380374976921
ADANIPORTS,0.20924244473573217
GODREJPROP,0.18942139751291895
PAGEIND,0.1481565098011448
BAJFINANCE,0.14436810213207577
DRREDDY,0.12290330627554125
DMART,0.13550556167052186
VEDL,0.1752874856423506
AUROPHARMA,0.1359719163529726
TECHM,0.12570766207106607
RELIANCE,0.11316861882444189
LUPIN,0.12439338905611766
ACC,0.11923750025521632
HEROMOTOCO,0.11132096842419842
HAVELLS,0.11252438883758326
TCS,0.09970179288643094
HINDUNILVR,0.08953899568501396
DIVISLAB,0.07712024117886579
INFY,0.0710681982109441
WIPRO,0.06810149588380465
HINDZINC,0.06689294193261656
BATAINDIA,0.0626444311368869
HDFCBANK,0.05847410305382337
HDFCAMC,0.055457997705992815
BPCL,0.04843326330226727
SHREECEM,0.04691198412893219
RAMCOCEM,0.04390056367349304
JUBLFOOD,0.03604800599990005
DABUR,0.043243167262399046
UPL,0.01747926042173
KOTAKBANK,0.020300662650925286
