stock,sector
TVSMOTOR,Automobile
PERSISTENT,IT
TRENT,Retail
ADANIPOWER,Power
PRESTIGE,Real_Estate
NTPC,Power
ABB,Capital_Goods
MAXHEALTH,Healthcare
ITC,FMCG
LT,Capital_Goods
TITAN,Consumer_Durables
BHEL,Capital_Goods
TATAPOWER,Power
SUNPHARMA,Pharma
OIL,Oil_Gas
CUMMINSIND,Capital_Goods
BHARTIARTL,Telecom
IOC,Oil_Gas
OBEROIRLTY,Real_Estate
SIEMENS,Capital_Goods
ADANIENT,Others
FORTIS,Healthcare
CHOLAFIN,Financial_Services
NMDC,Metals
DLF,Real_Estate
ESCORTS,Automobile
ALKEM,Pharma
M&M,Automobile
POWERGRID,Power
JINDALSTEL,Metals
COFORGE,IT
JSWSTEEL,Metals
TORNTPHARM,Pharma
BAJAJ-AUTO,Automobile
TATACONSUM,FMCG
APOLLOHOSP,Healthcare
TATASTEEL,Metals
NESTLEIND,FMCG
ONGC,Oil_Gas
LTTS,IT
SBIN,Financial_Services
HINDALCO,Metals
ICICIBANK,Financial_Services
COLPAL,FMCG
INDIGO,Others
AMBUJACEM,Cement
BRITANNIA,FMCG
BAJAJFINSV,Financial_Services
PIDILITIND,Paints
ULTRACEMCO,Cement
GODREJCP,FMCG
MPHASIS,IT
SBILIFE,Financial_Services
HINDPETRO,Oil_Gas
CIPLA,Pharma
GRASIM,Cement
SAIL,Metals
EICHERMOT,Automobile
WESTLIFE,Retail
HCLTECH,IT
PIIND,Others
INDUSINDBK,Telecom
BOSCHLTD,Capital_Goods
AXISBANK,Financial_Services
ASHOKLEY,Automobile
MARUTI,Automobile
CONCOR,Logistics
ASIANPAINT,Paints
MARICO,FMCG
ADANIGREEN,Others
ADANIPORTS,Logistics
GODREJPROP,Real_Estate
PAGEIND,Others
BAJFINANCE,Financial_Services
DRREDDY,Pharma
DMART,Retail
VEDL,Metals
AUROPHARMA,Pharma
TECHM,IT
RELIANCE,Oil_Gas
LUPIN,Pharma
ACC,Cement
HEROMOTOCO,Automobile
HAVELLS,Consumer_Durables
TCS,IT
HINDUNILVR,FMCG
DIVISLAB,Pharma
INFY,IT
WIPRO,IT
HINDZINC,Metals
BATAINDIA,Consumer_Durables
HDFCBANK,Financial_Services
HDFCAMC,Financial_Services
BPCL,Oil_Gas
SHREECEM,Cement
RAMCOCEM,Cement
JUBLFOOD,Retail
DABUR,FMCG
UPL,Others
KOTAKBANK,Financial_Services
