,TVSMOTOR,PERSISTENT,TRENT,ADANIPOWER,PRESTIGE,NTPC,ABB,MAXHEALTH,ITC,LT,TITAN,BHEL,TATAPOWER,SUNPHARMA,OIL,CUMMINSIND,BHARTIARTL,IOC,OBEROIRLTY,SIEMENS,ADANIENT,FORTIS,CHOLAFIN,NMDC,DLF,ESCORTS,ALKEM,M&M,POWERGRID,JINDALSTEL,COFORGE,JSWSTEEL,TORNTPHARM,BAJAJ-AUTO,TATACONSUM,APOLLOHOSP,TATASTEEL,NESTLEIND,ONGC,LTTS,SBIN,HINDALCO,ICICIBANK,COLPAL,INDIGO,AMBUJACEM,BRITANNIA,BAJAJFINSV,PIDILITIND,ULTRACEMCO,GODREJCP,MPHASIS,SBILIFE,HINDPETRO,CIPLA,GRASIM,SAIL,EICHERMOT,WESTLIFE,HCLTECH,PIIND,INDUSINDBK,BOSCHLTD,AXISBANK,ASHOKLEY,MARUTI,CONCOR,ASIANPAINT,MARICO,ADANIGREEN,ADANIPORTS,GODREJPROP,PAGEIND,BAJFINANCE,DRREDDY,DMART,VEDL,AUROPHARMA,TECHM,RELIANCE,LUPIN,ACC,HEROMOTOCO,HAVELLS,TCS,HINDUNILVR,DIVISLAB,INFY,WIPRO,HINDZINC,BATAINDIA,HDFCBANK,HDFCAMC,BPCL,SHREECEM,RAMCOCEM,JUBLFOOD,DABUR,UPL,KOTAKBANK
TVSMOTOR,-926.4041466104762,123.47814746218631,123.48983562462652,123.5038854383707,123.48891226548602,123.47915669094536,123.48688463062808,123.48139004270888,123.48049630141978,123.4869081411587,123.49311184685459,123.5009695395307,123.49819736931619,123.48064705734217,123.47259826870805,123.48444342479132,123.48114345117264,123.48367238561508,123.4991309772441,123.49137685710326,123.50044057634986,123.47776738369862,123.49793706844088,123.47802038518554,123.50261778250805,129.65721246477978,123.47150281600472,129.6694969794157,123.47901385825617,123.49226497546414,123.48221156839887,123.48450082930785,123.47356659950208,129.66800690351752,123.4851815279419,123.48068680090327,123.48846803190017,123.47703885896166,123.47481616430653,123.48081994591774,123.48836726652655,123.48481499402286,123.48407654366557,123.47504966356274,123.49047258045124,123.49033893269987,123.47536898647638,123.4909696426522,123.4824046608473,123.48714032884041,123.4815342385993,123.4816119184982,123.48479620264155,123.4830408857396,123.47161403836742,123.48945109349424,123.4936746333911,129.67397280172688,123.48702799620551,123.47140088011045,123.48264039503883,123.49583644566422,123.49475100763678,123.48734822626986,129.67849874196966,129.66790869805365,123.48983176556527,123.48087545445304,123.47708163120546,123.48633136147009,123.49737131256356,123.49645214774492,123.48693847374969,123.49411619505628,123.47268734978428,123.4873038671449,123.48713533356772,123.47866338867013,123.4785232893388,123.48442636079935,123.47707552429759,123.4885704570959,129.6730376251624,123.48521995303446,123.47258090522803,123.47967710406593,123.47547382843041,123.47350960210042,123.4778938839919,123.4796915987477,123.48732274855413,123.48159767142852,123.48278123089719,123.48194346658039,123.4867131042476,123.489303297193,123.49097964041562,123.47578512375287,123.48510833485585,123.4857050640093
PERSISTENT,123.47814746218631,-926.456005063265,123.49126623250675,123.4978192690956,123.48881553158859,123.48545683243907,123.48334464955838,123.4844703530095,123.48314189270178,123.49123912380122,123.48578966091281,123.5065247434851,123.49946373511287,123.4865433643622,123.48795642123949,123.48329345096471,123.48577818779782,123.48297022780591,123.49670583437916,123.48515661775238,123.50018425593592,123.49267092391187,123.49237084203395,123.49937020502682,123.5063078674034,123.4795674705569,123.47906389986895,123.48409883552301,123.47947383133999,123.50376624356974,129.71514365268337,123.4968206014029,123.48026059508848,123.47901769356969,123.48717635354737,123.49735264887332,123.50281271987595,123.47667131531321,123.48589655284871,129.70612273536202,123.49021201821418,123.51016516559602,123.48593786731206,123.47910986636089,123.49210864633596,123.48528528857207,123.47789612653594,123.49132018007109,123.48332576833008,123.48758721804859,123.47567683614463,129.70779787040559,123.48540623586734,123.48059039948325,123.47795887030767,123.48972087710038,123.51467566785146,123.48171377024536,123.479908489058,129.68535955966868,123.4903424489448,123.4931986986384,123.48879452390409,123.48490343578737,123.48875539827316,123.48023213488642,123.4833158175721,123.48555109494254,123.48151710621647,123.47431982306517,123.49807519975323,123.50444026058591,123.48674946957544,123.49289363792516,123.4818431341188,123.48454983108957,123.50925646983674,123.49159867931888,129.69037705999895,123.48689209363692,123.48894875753314,123.48645097918077,123.48574630590767,123.48739781730652,129.6757964496902,123.48040288305782,123.48826225779817,129.68773266124683,129.68611194629202,123.47879869804541,123.49120073808515,123.4829942500638,123.489919021367,123.4843440817076,123.48715177232023,123.4894968004343,123.49980768144505,123.47867927226932,123.49758071214362,123.48081456369391
TRENT,123.48983562462652,123.49126623250675,-926.4007734639342,123.50280759044779,123.49221136773008,123.48351567075491,123.48709198964264,123.48488426679376,123.48054039185934,123.4897721171238,123.5014163068484,123.5087367812744,123.506971529326,123.48356793381612,123.47546456012824,123.49273911709992,123.4809692625092,123.48759622731563,123.50386274997885,123.49005606425533,123.50568473365917,123.48234410961993,123.49963962348889,123.50452257224552,123.5081378659462,123.48464069493801,123.47903723692872,123.49476079802162,123.48082376226444,123.50045800290471,123.49475648415205,123.49448216194332,123.48207909402328,123.48426863797908,123.49183150266157,123.48775244156582,123.4971224433362,123.47709987615127,123.48409630731524,123.49531135706155,123.49099794286931,123.49953073869099,123.48794627424115,123.47933961011819,123.49494846925731,123.48566291176493,123.47963127738777,123.49867796257584,123.48661958711864,123.48823663565929,123.48701138022497,123.48668063951663,123.48071796211684,123.49392391273636,123.47325215981618,123.49035219437405,123.49834293886937,123.49535409185958,129.66187548687364,123.48213471522308,123.49138897617863,123.49665618211012,123.49453459013392,123.48807884235677,123.50057374431535,123.48761947436469,123.49048915993123,123.48381775523754,123.4781099499479,123.4900564660324,123.5035800654239,123.50888978181675,123.49235300694431,123.50112245461048,123.47576995014998,129.66883631240685,123.49820195343378,123.49188205489682,123.48904936996155,123.49171530535472,123.48737487376994,123.48782961084572,123.49294288622346,123.48878039636122,123.47934798649854,123.48019310278002,123.48094274553983,123.48283863878666,123.4862659499139,123.48067290898146,123.49510334827235,123.48323463769006,123.49192815087139,123.48913820798813,123.48525600680242,123.49044766930945,129.68033622162434,123.48327353167872,123.49195004216358,123.48191874664059
ADANIPOWER,123.5038854383707,123.4978192690956,123.50280759044779,-926.6162983331352,123.49650151555582,129.68193557286773,123.4946862591899,123.49486699413859,123.48968915879436,123.49693495305655,123.49182926755813,123.54700871789524,129.7199793128964,123.48217130873849,123.48548897282268,123.48899782634135,123.49645846462326,123.50334173178305,123.5149383752848,123.49333206077415,123.60358301901826,123.50368243990297,123.50341038536357,123.51874115353505,123.52405800871608,123.4914124757974,123.47469305701836,123.50112983176763,129.66831072711406,123.52306053239766,123.50157647373908,123.50891973217372,123.48337429291493,123.49219602090696,123.49771109092018,123.4811002327983,123.5123163650421,123.47219303490249,123.49672314130044,123.49172070053842,123.50185041210418,123.51517603831618,123.48924295456254,123.48096297399431,123.51072617320597,123.52652425411279,123.48030900457107,123.49192194798832,123.48756187759446,123.49351960454891,123.48251712135558,123.49751778957656,123.48669932573509,123.50501390379316,123.47302327273539,123.49946789318767,123.52917151164061,123.503373888613,123.48935342100398,123.48900325278228,123.50879855151564,123.5078943489203,123.49714337130322,123.4922146689004,123.51000926461634,123.4982069885153,123.50219916448518,123.48143737789783,123.48491506325811,123.61163636221565,123.57920437914882,123.51734799134684,123.49766879886417,123.49913955307406,123.47839776263248,123.49298148448176,123.52541914492406,123.48631302858189,123.5019770671532,123.49434278290198,123.48709699949418,123.52073262529962,123.49925916786796,123.49941747852833,123.48645586783255,123.47816855204147,123.48846660816201,123.48391807898935,123.49217114959202,123.4992633347562,123.50882177605152,123.48641328906535,123.49569501773396,123.49968614753305,123.49907332963338,123.5003621042105,123.50697874092825,123.48255264726089,123.50095790978412,123.48608724567092
PRESTIGE,123.48891226548602,123.48881553158859,123.49221136773008,123.49650151555582,-926.4432299540591,123.48468618575416,123.48514728057162,123.48068473924909,123.47995352176508,123.49016317645825,123.49167252096862,123.51753543416154,123.50643460752417,123.475866495053,123.47822849691079,123.49732304289438,123.48262494832599,123.4915788662706,129.7031979351781,123.49140568394557,123.51471190525845,123.48226735024616,123.50464071431779,123.51024620135675,129.7022717644851,123.48899891756213,123.47196445492861,123.49325038434833,123.4770917680217,123.50437663267246,123.488575666455,123.49982042322469,123.47262634542912,123.48483642963765,123.48609479098707,123.48338265667573,123.50124694998627,123.47216911119315,123.4855027692904,123.49663351691666,123.49463396060699,123.49919107763867,123.48532053021577,123.47184970026504,123.4962719713564,123.49511614481358,123.47732721623709,123.49363044689,123.48074449689622,123.48888030650338,123.48187640002641,123.48673213287319,123.48786416199843,123.50008510155024,123.46880342677699,123.49186895606542,123.50930801213926,123.49236668027984,123.48874815088598,123.47918490509295,123.49046494349034,123.48982272900338,123.49139824006991,123.49099067729097,123.50030852480867,123.48361551957575,123.49912294066539,123.47896857772238,123.47085882308397,123.48983216068555,123.50588803021054,129.7042211609518,123.4869629188928,123.4935512087329,123.47967174594683,123.48672857018659,123.50222193664894,123.49015710231586,123.48684903027822,123.49334663323751,123.48623488991197,123.4933176582492,123.49090102741638,123.49666162545313,123.47541360245421,123.47385177527894,123.47611932025299,123.48034347714082,123.48252152872419,123.48414714838148,123.49319522062274,123.4799870811222,123.48904025702382,123.49569866740421,123.4891736814599,123.49301411142235,123.49580222975956,123.47756885796699,123.49011123378517,123.48523640483035
NTPC,123.47915669094536,123.48545683243907,123.48351567075491,129.68193557286773,123.48468618575416,-926.3399041188713,123.47545226203829,123.475924109832,123.4803923483623,123.48325812552326,123.48256815066077,123.51324831224326,129.68596417608214,123.4794551015986,123.4922540465696,123.48174866853455,123.4782637115417,123.49573056981706,123.4917594536148,123.48540627894195,123.50194981649099,123.4845688090131,123.4846052965797,123.5034957142212,123.49678140726573,123.4756464397916,123.47549786666673,123.48548590601965,129.67379379658306,123.4983462459029,123.47933782130409,123.49222158346055,123.47507886339528,123.47824940451054,123.48171665152572,123.4797168803212,123.49902579186596,123.4725767489644,123.50013737052913,123.48473171043568,123.4917982861648,123.49588932469572,123.48232041970795,123.47513466651935,123.48492776740676,123.48840715282799,123.47171677957212,123.48514674252272,123.47829649038124,123.47982934886346,123.47518682252775,123.48221310968484,123.48197870163318,123.4903512106176,123.4723114183858,123.48632776563952,123.5058117524249,123.48116470085313,123.47791035149424,123.47973303330676,123.47986502853328,123.48908989183926,123.48685313300365,123.48315023435705,123.48953943754893,123.48273254360788,123.4873994549832,123.47072894075077,123.47735276061485,123.48977468458511,123.49879173224798,123.49683402113408,123.47715809409297,123.48580336892496,123.47564360181795,123.48304974372252,123.50379096262125,123.48293329977886,123.47946593188848,123.48298192895382,123.47828854405222,123.48689993464282,123.48213226845334,123.48078293329971,123.47439592920355,123.47229564698662,123.47597281646097,123.47470490958466,123.47928823468445,123.48325073212004,123.4829780275746,123.47734917437637,123.48318663156286,123.4898983899501,123.48480932676736,123.48213713545962,123.4864997987672,123.47568319687267,123.48743399317206,123.48044962648859
ABB,123.48688463062808,123.48334464955838,123.48709198964264,123.4946862591899,123.48514728057162,123.47545226203829,-926.3661352695259,123.47987115647601,123.4764901080772,129.6587955984402,123.48377186808915,129.67104508560558,123.49158468791836,123.47313640015344,123.48178096385496,129.66533097482736,123.4791889984815,123.48332557079382,123.49101471000725,129.67557018003092,123.50597808186345,123.47770620828578,123.48973575379765,123.48826740050521,123.4945906921368,123.48446743153244,123.473341070859,123.48419030651962,123.47595958085134,123.48964040419679,123.49022717840887,123.47630391584062,123.47763645144383,123.47937336036352,123.48290477172287,123.4820405800813,123.48417970750222,123.47129441242453,123.47346410202664,123.4864211075735,123.48116304867233,123.48310927077816,123.48020669503518,123.47555243032221,123.48869903188483,123.49420411631684,123.47449569730892,123.4842363503999,123.48200269439829,123.48308965598713,123.48295753000843,123.48132830125664,123.48076791244816,123.48425132383707,123.46816438841896,123.48464183652868,123.49409544129733,123.48201436283316,123.4832624304471,123.47918953408421,123.48438013607375,123.48790212963036,129.65754566234446,123.47570526484165,123.49036656817123,123.47974365832857,123.49178551149737,123.47850423000145,123.47832212671139,123.48870807721283,123.50198650367085,123.49290075357754,123.48222210217918,123.48147094163903,123.47020005628428,123.48183559253019,123.482766636122,123.47528174862381,123.48018186481633,123.4776557180763,123.47841860302384,123.49200961627082,123.48556863562575,123.48884971344211,123.47540184088254,123.47264651577063,123.47745292861728,123.47744384020157,123.48074840833576,123.4813673681617,123.48407503436391,123.4767772083816,123.48654058344678,123.48239545371956,123.48530192378837,123.48441792744552,123.49026827724927,123.47860351448503,123.48389291369395,123.47410348533236
MAXHEALTH,123.48139004270888,123.4844703530095,123.48488426679376,123.49486699413859,123.48068473924909,123.475924109832,123.47987115647601,-926.3819601714218,123.47277432857214,123.4767741081628,123.47756826141634,123.48749816069176,123.48400528403948,123.48341970277212,123.47867263500714,123.48156751492832,123.4769100140829,123.47938568806245,123.4835212909598,123.47734205217935,123.48828887728371,129.66098238802948,123.47854564688697,123.47539097743893,123.48896834009636,123.48056336407973,123.47403756671906,123.48214465197537,123.47263080227214,123.48635343170594,123.48591581951425,123.47956866453853,123.4802820560968,123.47621202446376,123.47905865991223,129.6708319394477,123.48138508693685,123.47112220245359,123.47156035647086,123.48436720108711,123.47177451391815,123.48081440452671,123.47409017730328,123.47338245189238,123.48275352558062,123.48255441623749,123.47142043270503,123.47739504152676,123.47442890513452,123.48075831246564,123.47978265378268,123.4812941427644,123.4729076685735,123.47923235216331,123.47824480613679,123.47829104501841,123.48044776752485,123.48176527282385,123.47893605330009,123.47892892229333,123.47953527679556,123.47844898825014,123.47996374302684,123.47608910747357,123.4890448763646,123.47956953453937,123.4826787435149,123.47445555659402,123.47376451297905,123.47561545626064,123.48594421994983,123.48463332055141,123.47804231627171,123.47880275002524,123.48011262801054,123.4771248691236,123.47858906942676,123.4800443634928,123.48765356054389,123.47732594402325,123.47806637108278,123.4805583413827,123.47978427753736,123.48112493615645,123.47334835474834,123.47509464943835,123.48944351597208,123.47636865598221,123.47893967360747,123.47936391142568,123.48169206527291,123.47424409009182,123.48438531727612,123.47803625874064,123.47839030530429,123.48380747975261,123.4886736765022,123.47481943904097,123.47859083748546,123.47581897688445
ITC,123.48049630141978,123.48314189270178,123.48054039185934,123.48968915879436,123.47995352176508,123.4803923483623,123.4764901080772,123.47277432857214,-926.2544717341326,123.48170570988671,123.4807277028844,123.4927411840062,123.49461291614756,123.47737602713738,123.47568478995666,123.48034025800163,123.47853902972898,123.4829175916955,123.48574560242628,123.48064831462128,123.48280508122735,123.47481945729771,123.48941508424156,123.48617988041266,123.49265136713015,123.47681899501026,123.47384599377617,123.48215390408859,123.47749763855973,123.48903580867739,123.47806822572454,123.48951775822812,123.47523747773238,123.47714736686055,129.65498945409146,123.47696918002208,123.4888514138234,129.64839521956318,123.47846148765194,123.47981948592417,123.4849659271465,123.4875884741175,123.48023560457085,129.64836175530976,123.4867524084703,123.48086251937613,129.65260005995137,123.48062544140438,123.47719455773637,123.47900024373558,129.6509831891533,123.48089372392863,123.47686240068751,123.48332790525677,123.47124187497013,123.4843271270511,123.49049561785992,123.48083403112145,123.47529544752476,123.4750826551386,123.48360384941336,123.48621686064703,123.48203087902522,123.48076383951437,123.48592803093607,123.4782413113696,123.48176239998762,123.47565734239913,129.65082695793666,123.48260376989265,123.48795681363211,123.48840684572747,123.47852188318734,123.48405366030465,123.4748571118129,123.4790360508162,123.49127094538059,123.48033708782035,123.47802816722123,123.48186900494665,123.47350906848686,123.47960627325796,123.48078516950503,123.47909135894065,123.47317560537098,129.65283870647878,123.47655761259162,123.47702057837725,123.47878135841273,123.48074412813966,123.48171552048436,123.47668660464757,123.48115187167576,123.47967645953298,123.48002433859111,123.47917121212623,123.48060174645232,129.6506417528807,123.48593961982039,123.48093886419971
LT,123.4869081411587,123.49123912380122,123.4897721171238,123.49693495305655,123.49016317645825,123.48325812552326,129.6587955984402,123.4767741081628,123.48170570988671,-926.2694179605518,123.48925058137377,129.6749525740014,123.49718212709055,123.48093043942956,123.47627419383647,129.65860558597709,123.48252583207591,123.48621439407154,123.49563390802183,129.66263081956563,123.49517628418283,123.48007071143067,123.49417247148978,123.49377216303722,123.50558364144482,123.47760758815201,123.47376383749955,123.48910886587404,123.48183449810065,123.49505416937922,123.48962076369384,123.49140906453093,123.47642298207336,123.48234916334408,123.48496565745788,123.4833992428955,123.49531566042143,123.47504975158105,123.47538666842999,123.49877295138961,123.49019273686616,123.49781349414653,123.4874929852867,123.47433727552232,123.49152480298164,123.48801908767021,123.47578446287798,123.49212193451336,123.48222455462209,123.48637845998533,123.47887582288743,123.49269821276312,123.48408599796957,123.48456450886505,123.47155055109286,123.4894161409429,123.49736311938622,123.48626324994035,123.48143900116403,123.48423005145614,123.48589757689905,123.49332249237514,129.66030010462256,123.48730135749855,123.4960769571712,123.48454885729006,123.4846096246282,123.48206454440324,123.4753207965723,123.48829396458547,123.49823575120274,123.50144599312924,123.48425497400513,123.49194595714482,123.47741266609523,123.48749325942799,123.49724389858574,123.48071440101165,123.49097502128433,123.48540324596229,123.47818813490852,123.4865827772351,123.48778825514742,123.48803408236799,123.48321812649289,123.47634925151965,123.48053724741158,123.4874659535198,123.4878575636715,123.48551409392894,123.48580207157539,123.48604901922067,123.48891807657074,123.48555209389298,123.48752181325065,123.4857767198167,123.49246001046396,123.47779428032564,123.4920863550881,123.48403790362187
