Metric,Classical,Quantum
Number of Stocks,28,28
Total Weight %,100.0,100.0
Total Return %,5.538370069932097,32.19846306794578
Annualized Return %,1.1023926978512621,5.841556561447714
Annualized Risk %,15.369167141377277,14.95406677625073
Sharpe Ratio,-0.25359912260017636,0.05627610027689792
Diversification Ratio,1.0686951326932899,0.934229530614811
Max Drawdown %,-31.479241387689992,-23.3468381258509
Initial Capital (USD),"1,000,000.00","1,000,000.00"
Initial Capital (INR),"83,000,000.00","83,000,000.00"
Final Value (USD),"1,048,987.99","1,312,698.50"
Final Value (INR),"87,066,002.94","108,953,975.35"
Profit/Loss (USD),"48,987.99","312,698.50"
Profit/Loss (INR),"4,066,002.94","25,953,975.35"
